"","Stile_diameter","Endodermis_diameter","CCL1_diameter","CCL2_diameter","CCL3_diameter","CCL4_diameter","Exodermis_diameter","Epidermis_diameter","Max_diameter","Endodermis_n_cell","CCL1_n_cell","CCL2__n_cell","CCL3_n_cell","CCL4_n_cell","Exodermis_n_cell","Epidermis_n_cell","Aerenchyma_mean_area","Aerenchyma_n","CCL","root_plant"
"CCL1_n_cell",0.797101750939254,0.269365698333017,-0.0181752102680576,0.413077062560962,0.646736819225397,0.800394974422568,-0.130939232517195,0.0706774506455784,0.600998500163541,0.948499730579718,1,0.57578854051641,0.448470713518159,0.70294101140214,0.411209039676401,0.47337892904132,-0.0706865303404043,0.507788576443351,0.313687921366384,0.0597262173251848
"CCL2__n_cell",0.612677593850774,0.329468412397848,0.0611792834101566,0.785777244050797,0.689051492639355,0.690665386537836,-0.261386775137742,-0.0653169790360097,0.534489245125014,0.570768542202813,0.57578854051641,1,0.434060296631025,0.601489745801709,0.745551045297054,0.710498774299998,0.333946693684569,0.106638466958953,0.719773060928794,0.440294424290396
"CCL3_n_cell",0.608020818359494,0.109989545416788,0.083211376122201,0.392546020876816,0.614407999607805,0.527455328097618,-0.181049943087125,-0.0967046655378971,0.45338528545459,0.527955012856016,0.448470713518159,0.434060296631025,1,0.474087516791547,0.644728515474614,0.72841708263835,0.183895348150748,0.267244774546315,0.530059803702566,0.215681420219519
"CCL4_n_cell",0.804140635382188,0.256460849935385,0.100379838567219,0.46206914980051,0.6511275878737,0.890920249668498,-0.139886855462693,-0.0428961516061743,0.617929367341967,0.816745374441907,0.70294101140214,0.601489745801709,0.474087516791547,1,0.606811106722592,0.567958926254066,0.108980752633207,0.467762677008977,0.509080966943378,0.204665986866828
"Exodermis_n_cell",0.600509435586867,0.24604220004632,0.263922946726281,0.679110723279571,0.607437313640389,0.580725827750628,-0.27205397617126,-0.235675899968562,0.50061509302423,0.463914679409868,0.411209039676401,0.745551045297054,0.644728515474614,0.606811106722592,1,0.820929326929561,0.4146752342117,0.0917693854971973,0.730696898609157,0.500174414144067
"Epidermis_n_cell",0.66655190432779,0.313795975475524,0.235256436128393,0.708217433919172,0.607781734411682,0.581563840158186,-0.265637377144761,-0.186182460531197,0.57778227037981,0.527661318587196,0.47337892904132,0.710498774299998,0.72841708263835,0.567958926254066,0.820929326929561,1,0.359130930603543,0.1467063519558,0.682160877143493,0.444130212970417
"Aerenchyma_mean_area",0.0815744137908334,0.137266494345256,0.372811117853138,0.448498378080656,0.345806431506097,0.137237238123575,0.208916898709716,-0.04866471339926,0.466932915455224,-0.0954222658148589,-0.0706865303404043,0.333946693684569,0.183895348150748,0.108980752633207,0.4146752342117,0.359130930603543,1,-0.225906884443659,0.455285273394931,0.248547737790075
"Aerenchyma_n",0.485066372870267,0.0611454275673214,-0.0292799157381389,0.0909797253213839,0.303322285161371,0.421318704047236,-0.0710451124993899,0.0691119375170811,0.25018450152846,0.550951907507337,0.507788576443351,0.106638466958953,0.267244774546315,0.467762677008977,0.0917693854971973,0.1467063519558,-0.225906884443659,1,-0.00732891550450126,-0.143619148568271
"CCL",0.400173539283144,0.0468861376315953,0.0217342547331197,0.670753580816839,0.657987181649769,0.551867928366974,-0.220753627645642,-0.0724022925659611,0.44154925858413,0.314042456608494,0.313687921366384,0.719773060928794,0.530059803702566,0.509080966943378,0.730696898609157,0.682160877143493,0.455285273394931,-0.00732891550450126,1,0.437186244887481
"root_plant",0.269044513148129,0.355268967864423,0.100821225134313,0.355834200397588,0.19913864778387,0.21165733472486,-0.0880247915838278,-0.140571362737908,0.232769179493827,0.0782179339863524,0.0597262173251848,0.440294424290396,0.215681420219519,0.204665986866828,0.500174414144067,0.444130212970417,0.248547737790075,-0.143619148568271,0.437186244887481,1
