"","Stile_diameter","Endodermis_diameter","CCL1_diameter","CCL2_diameter","CCL3_diameter","CCL4_diameter","Exodermis_diameter","Epidermis_diameter","Max_diameter","Endodermis_n_cell","CCL1_n_cell","CCL2__n_cell","CCL3_n_cell","CCL4_n_cell","Exodermis_n_cell","Epidermis_n_cell","Aerenchyma_mean_area","Aerenchyma_n","CCL","root_plant"
"CCL1_n_cell",4.35012160874985e-22,0.00829852697754693,0.861221619905868,3.17890948414162e-05,1.442971201486e-12,2.20431701511513e-22,0.205944488796365,0.496117733496657,1.20061732644489e-10,3.22993330565739e-48,0,1.0320985693114e-09,5.16942756832158e-06,2.00916809710616e-15,3.47941767922875e-05,1.26763330441682e-06,0.496062256099012,1.50117204304937e-07,0.00196478435814547,0.565327617415186
"CCL2__n_cell",4.15270368304666e-11,0.0011130111284338,0.555888100539759,4.10830089407615e-21,1.17156744830642e-14,9.59384558739366e-15,0.0105093654871582,0.529430656796496,2.42029359903512e-08,1.55039056823466e-09,1.0320985693114e-09,0,1.10994463005443e-05,1.14917330355545e-10,4.47474092998201e-18,7.37129410445626e-16,0.000941978893113651,0.303686501405884,2.0596706357362e-16,8.00914752152441e-06
"CCL3_n_cell",6.37420043640804e-11,0.288655025179982,0.422727055268845,8.33468777011591e-05,3.53510674906856e-11,3.974823724744e-08,0.0791162279926636,0.351196993860652,3.95155195135142e-06,3.8386074938518e-08,5.16942756832158e-06,1.10994463005443e-05,0,1.21594838877998e-06,1.77984713128231e-12,5.98847371567494e-17,0.0744384867082056,0.00884212906304293,3.31217827478009e-08,0.0358039535037075
"CCL4_n_cell",1.00165943062535e-22,0.0121180389430569,0.333105832166339,2.43293681010595e-06,9.07099156247787e-13,1.21876189023693e-33,0.176357069779045,0.679786023292055,2.53966354402323e-11,6.18614809654893e-24,2.00916809710616e-15,1.14917330355545e-10,1.21594838877998e-06,0,7.11664222983639e-11,1.9411588280555e-09,0.293127184092628,1.75735594225842e-06,1.37915538781381e-07,0.0466413259384085
"Exodermis_n_cell",1.25402787845214e-10,0.0162413287423093,0.0097564771637576,3.90038347977666e-14,6.72250414295806e-11,6.87039633681391e-10,0.00765191641307581,0.0214956967064583,2.38806803499943e-07,2.19086931694451e-06,3.47941767922875e-05,4.47474092998201e-18,1.77984713128231e-12,7.11664222983639e-11,0,2.34048940554988e-24,2.94124705925222e-05,0.376434667445607,4.28932713816965e-17,2.45630639494456e-07
"Epidermis_n_cell",1.66932841162548e-13,0.00195735343543109,0.021735891816513,1.00103195249685e-15,6.51476179472991e-11,6.40752674412212e-10,0.0092747162045726,0.0708419672879441,8.76406117335628e-10,3.91812051614454e-08,1.26763330441682e-06,7.37129410445626e-16,5.98847371567494e-17,1.9411588280555e-09,2.34048940554988e-24,0,0.00035150634682621,0.155993595710573,2.7103201442656e-14,6.53121557619003e-06
"Aerenchyma_mean_area",0.431941059693051,0.184679002428622,0.000198684772698222,5.16167592865925e-06,0.000598217209599664,0.184773502815057,0.0421746846828349,0.639553362941415,1.84334557328259e-06,0.357651124298646,0.496062256099012,0.000941978893113651,0.0744384867082056,0.293127184092628,2.94124705925222e-05,0.00035150634682621,0,0.0277176989652157,3.55773469734433e-06,0.0151524127182668
"Aerenchyma_n",6.30323469645411e-07,0.556107173488627,0.778198317598755,0.38057252729027,0.00280796964366775,2.12032171022921e-05,0.493873906930155,0.505731578378211,0.0144757269862172,7.24312047979515e-09,1.50117204304937e-07,0.303686501405884,0.00884212906304293,1.75735594225842e-06,0.376434667445607,0.155993595710573,0.0277176989652157,0,0.943804682735434,0.164983367284841
"CCL",5.86892019570235e-05,0.651854006181485,0.83440170470208,1.03442790970279e-13,4.3252439041653e-13,6.75982449921289e-09,0.031574787343691,0.485637565400533,7.49414941045065e-06,0.00194049772343041,0.00196478435814547,2.0596706357362e-16,3.31217827478009e-08,1.37915538781381e-07,4.28932713816965e-17,2.7103201442656e-14,3.55773469734433e-06,0.943804682735434,0,9.43171477783747e-06
"root_plant",0.00837890985089541,0.000411060001823695,0.330973622689661,0.000401800450787044,0.0530279846337655,0.0394884347058874,0.396298829625113,0.174229180774369,0.0232078753875027,0.451187362853974,0.565327617415186,8.00914752152441e-06,0.0358039535037075,0.0466413259384085,2.45630639494456e-07,6.53121557619003e-06,0.0151524127182668,0.164983367284841,9.43171477783747e-06,0
