	Seqs	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P03.bc34	61723	P2	bc34	3	5	B	B5	L186	Front	Lemna_Perpusilla_8539	1	LP8539	5	1	186
P02.bc47	5784	P2	bc47	2	6	G	G6	L187	Front	Lemna_Perpusilla_8539	2	LP8539	5	1	187
P03.bc83	17548	P2	bc83	3	11	C	C11	L188	Front	Lemna_Perpusilla_8539	3	LP8539	5	1	188
P03.bc91	23357	P2	bc91	3	12	C	C12	L189	Front	Lemna_Perpusilla_8539	4	LP8539	5	1	189
P02.bc26	5044	P2	bc26	2	4	B	B4	L190	Front	Lemna_Perpusilla_8539	5	LP8539	5	1	190
P01.bc92	24662	P1	bc92	1	12	D	D12	L191	Front	Lemna_Tenera_9243	1	LT9243	6	1	191
P02.bc8	7537	P2	bc8	2	1	H	H1	L192	Front	Lemna_Tenera_9243	2	LT9243	7	1	192
P03.bc45	7314	P2	bc45	3	6	E	E6	L193	Front	Lemna_Tenera_9243	3	LT9243	7	1	193
P03.bc24	35840	P2	bc24	3	3	H	H3	L194	Front	Lemna_Tenera_9243	4	LT9243	5	1	194
P03.bc20	42387	P2	bc20	3	3	D	D3	L195	Front	Lemna_Tenera_9243	5	LT9243	6	1	195
P02.bc81	3911	P2	bc81	2	11	A	A11	L196	Front	Pistia_Stratiotes	1	PS	8	5	196
P01.bc84	18983	P1	bc84	1	11	D	D11	L197	Front	Pistia_Stratiotes	2	PS	8	9	197
P03.bc75	17312	P2	bc75	3	10	C	C10	L198	Front	Pistia_Stratiotes	3	PS	9	5	198
P01.bc64	28170	P1	bc64	1	8	H	H8	L199	Front	Pistia_Stratiotes	4	PS	8	5	199
P02.bc12	2395	P2	bc12	2	2	D	D2	L200	Front	Pistia_Stratiotes	5	PS	9	5	200
P03.bc89	67898	P2	bc89	3	12	A	A12	R106	Root	Spirodela_Intermedia_7820	1	SI7820	6	3.5	106
