	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P03.bc56	P2	bc56	3	7	H	H7	R184	Root	Lemna_Aequinoctialis_7339	4	LA7339	5	3	184
P03.bc3	P2	bc3	3	1	C	C1	R185	Root	Lemna_Aequinoctialis_7339	5	LA7339	5	1	185
P03.bc94	P2	bc94	3	12	F	F12	R186	Root	Lemna_Perpusilla_8539	1	LP8539	5	1	186
P01.bc77	P1	bc77	1	10	E	E10	R187	Root	Lemna_Perpusilla_8539	2	LP8539	5	1	187
P02.bc49	P2	bc49	2	7	A	A7	R188	Root	Lemna_Perpusilla_8539	4	LP8539	5	1	188
P03.bc62	P2	bc62	3	8	F	F8	R189	Root	Lemna_Perpusilla_8539	3	LP8539	5	1	189
P03.bc9	P2	bc9	3	2	A	A2	R190	Root	Lemna_Perpusilla_8539	5	LP8539	5	1	190
P02.bc64	P2	bc64	2	8	H	H8	R191	Root	Lemna_Tenera_9243	1	LT9243	6	1	191
P01.bc13	P1	bc13	1	2	E	E2	R192	Root	Lemna_Tenera_9243	2	LT9243	7	1	192
P03.bc82	P2	bc82	3	11	B	B11	R193	Root	Lemna_Tenera_9243	3	LT9243	7	1	193
P03.bc66	P2	bc66	3	9	B	B9	R194	Root	Lemna_Tenera_9243	4	LT9243	5	1	194
P03.bc92	P2	bc92	3	12	D	D12	R196	Root	Pistia_Stratiotes	1	PS	8	5	196
P01.bc6	P1	bc6	1	1	F	F1	R197	Root	Pistia_Stratiotes	2	PS	8	9	197
P02.bc58	P2	bc58	2	8	B	B8	R198	Root	Pistia_Stratiotes	3	PS	9	5	198
P01.bc87	P1	bc87	1	11	G	G11	R199	Root	Pistia_Stratiotes	4	PS	8	5	199
P01.bc12	P1	bc12	1	2	D	D2	R200	Root	Pistia_Stratiotes	5	PS	9	5	200
