	Syncom	Stele_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Stele_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Aerenchyma_mean_area	Aerenchyma_n	CCL	Complexity	Aerenchyma_total_area
v24.2	R289	6.169805	2.60471125	17.88868	10.77811625	10.95775179	0	33.2824203	7.548673917	179.4822975	8	8	8	8	7	0	24	40	701.1566688	8	7	6.875	5609.25335
v24.3	R289	6.734837143	2.721588571	17.47193	10.24795857	13.64154571	11.17195	24.47674045	8.592942487	1822.301918	7	7	7	7	7	1	22	34	944.6772217	6	7	7.142857143	1051.88522
v25.1	P234	5.82601	2.978908333	14.24818667	12.39339167	29.269195	3.133481667	1.847770208	1.944118304	141.6910625	7	6	6	6	6	3	16	21	338.78513	6	7	7.5	2032.71078
v25.2	P234	7.93981125	3.039874464	17.81995429	11.48862857	11.80309714	19.68580429	28.0460463	10.5533718	228.2586625	8	7	7	7	7	2	27	42	1366.475064	7	7	7.285714286	9565.32545
v25.3	P234	6.7478725	3.246301786	16.44733143	10.72652571	14.47644286	19.30773571	18.74089346	5.636511122	187.781035	8	7	7	7	7	2	26	48	1054.166506	7	7	7.285714286	7379.29647
v26.1	P153	6.01783375	3.38001625	16.66856833	10.06288	14.713615	9.486676667	23.61618192	9.860303791	191.87494	8	7	6	6	6	2	26	35	1372.452318	6	7	7.333333333	8234.71391
v26.2	P153	6.5619925	3.751954643	16.14707857	9.68825	12.86383857	28.05106571	11.880661	9.210800471	199.6475075	8	7	7	7	7	2	20	34	877.5295314	7	7	7.285714286	6142.70671
v26.3	P153	5.824765714	3.193069286	16.68416	7.768286667	10.61077633	19.82126786	75.01296357	9.100453095	174.68395	7	8	6	6	5	0	14	33	495.2345317	6	7	7.285714286	2971.40718
v27.1	R245	6.0392675	3.5143625	17.02969286	9.757961429	13.81754071	11.59147	28.41290231	9.099624442	200.7298575	8	7	7	7	6	4	26	40	1243.709046	7	8	7.5	8705.96333
v27.2	R245	6.5759725	4.00119375	15.25011	7.98815	13.08576125	0	25.08559513	12.08721151	175.819805	8	7	8	8	8	0	19	41	660.6103913	8	7	7	5285.00843
v27.3	R245	8.472438	4.349209778	8.910736222	7.548157429	13.41297657	0	45.083822	18.15159	214.186355	5	9	5	7	5	3	25	38	1553.989682	5	8	7.6	7769.94841
v27.4	R245	6.536231667	3.839154048	14.99320054	11.22240375	10.89806	0	40.53891609	7.08118361	192.6914075	6	7	8	7	7	3	23	33	877.5556271	7	7	7.428571429	6142.88939
v28.1	P9	7.19133625	6.900132639	16.79776236	14.96447589	10.98531952	0	33.67014159	6.433006213	199.7928325	8	9	8	7	6	1	23	38	1140.753187	7	7	7.166666667	7985.27232
v28.2	P9	5.38861	4.694775556	11.37041444	7.487108889	-28.94090889	0	51.25952647	10.88419501	125.86915	7	9	9	9	0	0	17	27	178.40333	9	7	7.166666667	1605.62997
v28.3	P9	5.43802875	3.08113625	16.30662	9.019413333	11.18964333	0	34.85406742	8.614649828	175.3171475	8	6	6	6	6	1	22	37	1023.51798	6	7	7.166666667	6141.10787
v28.4	P9	7.53540875	6.37008125	13.86441	14.14498	17.95636	0	15.56658875	9.18136088	183.7902025	8	7	8	7	1	0	16	27	335.1929529	7	6	6.142857143	2346.35068
NB5	NB	6.183924286	4.174398571	11.46190286	6.688469286	8.403038333	0	32.32445324	11.17889391	145.0636975	7	7	7	7	6	0	17	27	378.2451671	7	7	6.857142857	2647.71617
NB2	NB	5.954808571	3.735382857	16.95018143	9.620371429	9.555769048	0	43.95501571	13.20104667	187.83377	7	7	7	7	6	0	17	30	665.5664857	7	7	6.857142857	4659.1012
NB6	NB	6.055448571	3.815498571	14.19995571	8.88972381	0	0	26.30466	16.41889579	156.0259975	7	7	7	6	0	0	15	49	519.0223563	8	6	5.857142857	3699.53169
v2.1.2	Full_Syncom	9.157482857	28.49464857	13.48974571	10.63050786	11.74650833	0	32.55949188	7.708016351	242.53852	7	7	7	6	3	0	23	51	1292.510607	7	7	7	9047.57424
v2.1.3	Full_Syncom	4.436433333	3.101101667	13.470415	7.122843333	7.348966667	0	32.44975923	7.534478269	153.807875	8	6	6	6	5	0	13	26	488.9863517	6	7	7.833333333	2933.9181
v2.1.4	Full_Syncom	8.75423625	5.77425775	14.838381	12.1300975	4.1317535	0	33.73354611	9.567044381	930.3458925	8	10	12	8	5	3	19	37	357.8039967	9	7	7.6	3175.2753
