"ID" "Species" "Root" "Compartment" "Sample" "Complexity" "Shannon" "Observed" "Simpson" "Chao1" "Specie"
"P02.bc60" "LP0049_Medium_SR" "LP0049" "Medium" "SR" 4 5.2 1.13800087518155 14 0.628739437705384 14 "LP0049"
"P02.bc61" "LP0049_Medium_SR" "LP0049" "Medium" "SR" 5 5.2 0.651732526820054 4 0.358356344510191 4 "LP0049"
"P02.bc65" "SI7820_Medium_SR" "SI7820" "Medium" "SR" 1 6.8 1.15751794666967 40 0.470508921648312 40 "SI7820"
"P02.bc66" "SI7820_Medium_SR" "SI7820" "Medium" "SR" 2 6.8 0 1 0 1 "SI7820"
"P02.bc68" "SI7820_Medium_SR" "SI7820" "Medium" "SR" 4 6.8 1.02919696489479 17 0.500355492828492 17 "SI7820"
"P02.bc69" "SI7820_Medium_SR" "SI7820" "Medium" "SR" 5 6.8 0.80916223431541 4 0.472700137174211 4 "SI7820"
"P02.bc73" "LT9243_Medium_SR" "LT9243" "Medium" "SR" 1 6.2 1.23569202122543 44 0.548355829260398 44 "LT9243"
"P02.bc74" "LT9243_Medium_SR" "LT9243" "Medium" "SR" 2 6.2 1.19919843799051 32 0.544550613569104 32 "LT9243"
"P02.bc75" "LT9243_Medium_SR" "LT9243" "Medium" "SR" 3 6.2 1.18129245490498 10 0.651359166683424 10 "LT9243"
"P02.bc76" "LT9243_Medium_SR" "LT9243" "Medium" "SR" 4 6.2 1.12526598517914 20 0.51882002945259 20 "LT9243"
"P02.bc77" "LT9243_Medium_SR" "LT9243" "Medium" "SR" 5 6.2 1.11266873530316 8 0.618911605686488 8 "LT9243"
"P02.bc81" "Control_Medium_SR" "Control" "Medium" "SR" 1 NA 1.01264693730428 14 0.523818837063029 14 "Control"
"P02.bc82" "Control_Medium_SR" "Control" "Medium" "SR" 2 NA 1.02429381798579 11 0.540061430593165 11 "Control"
"P02.bc83" "Control_Medium_SR" "Control" "High" "SR" 4 NA 0.962769211607671 6 0.492278829456773 6 "Control"
"P02.bc84" "Control_Medium_SR" "Control" "Medium" "SR" 4 NA 0.99615359768342 7 0.581173632735406 7 "Control"
"P02.bc85" "Control_Medium_SR" "Control" "Medium" "SR" 5 NA 0.87538412280091 7 0.470990832694067 7 "Control"
"P03.bc10" "SI9227_High_SR" "SI9227" "High" "SR" 2 7.6 1.18420703476784 27 0.539885212863368 27 "SI9227"
"P03.bc11" "SI9227_High_SR" "SI9227" "High" "SR" 3 7.6 1.05577520067017 16 0.486269359649728 16 "SI9227"
"P03.bc12" "SI9227_High_SR" "SI9227" "High" "SR" 4 7.6 0.85008063460144 6 0.444257489437416 6 "SI9227"
"P03.bc13" "SI9227_High_SR" "SI9227" "High" "SR" 5 7.6 1.0132676370569 4 0.604166285099071 4 "SI9227"
"P03.bc17" "LP8539_High_SR" "LP8539" "High" "SR" 1 5 1.06494422384264 11 0.564893051047983 11 "LP8539"
"P03.bc19" "LP8539_High_SR" "LP8539" "High" "SR" 3 5 1.17803083610401 24 0.570637853754147 24 "LP8539"
"P03.bc20" "LP8539_High_SR" "LP8539" "High" "SR" 4 5 0.923535872707918 7 0.491990452682931 7 "LP8539"
"P03.bc21" "LP8539_High_SR" "LP8539" "High" "SR" 5 5 1.0557985621587 3 0.639908718839069 3 "LP8539"
"P03.bc26" "LJ9250_High_SR" "LJ9250" "High" "SR" 2 5.33 1.0061733066322 13 0.47501926511898 13 "LJ9250"
"P03.bc27" "LJ9250_High_SR" "LJ9250" "High" "SR" 3 5.33 0 1 0 1 "LJ9250"
"P03.bc28" "LJ9250_High_SR" "LJ9250" "High" "SR" 4 5.33 1.06045701160038 3 0.640154374940222 3 "LJ9250"
"P03.bc29" "LJ9250_High_SR" "LJ9250" "High" "SR" 5 5.33 1.02576191370356 3 0.615503906706053 3 "LJ9250"
"P03.bc33" "SP7498_High_SR" "SP7498" "High" "SR" 1 7.25 1.38520208693594 24 0.615126703178957 24 "SP7498"
"P03.bc36" "SP7498_High_SR" "SP7498" "High" "SR" 4 7.25 1.2758747352774 5 0.693794449898828 5 "SP7498"
"P03.bc37" "SP7498_High_SR" "SP7498" "High" "SR" 5 7.25 0.9485297097711 5 0.493320042849071 5 "SP7498"
"P03.bc41" "LA7339_Medium_SR" "LA7339" "Medium" "SR" 5 5 1.18394978793331 24 0.53195963010442 24.3333333333333 "LA7339"
