"Species" "Metabolite" "log2foldchange" "p.value" "SignPval" "p.ajust" "SignPajus"
"10128" "LY9208" "X636" -0.0348076366025274 0.122005080890407 "NoSignificant" 0.470573454842811 "NoSignificant"
"12501" "SI7820" "X636" -0.0323596193647533 0.271404882735593 "NoSignificant" 0.526084053646735 "NoSignificant"
"14874" "SI9227" "X636" -0.00473191851946941 0.533915654775236 "NoSignificant" 0.704705311107763 "NoSignificant"
"17247" "SP7498" "X636" -0.0823477952918483 0.152143625933884 "NoSignificant" 0.472149290768665 "NoSignificant"
"19620" "SP9509" "X636" -0.0576438582324874 0.0492718089287661 "q < 0.05" 0.470573454842811 "NoSignificant"
"1670" "LA7339" "X1670" -0.021664823429175 0.42361369521422 "NoSignificant" 0.625327377678079 "NoSignificant"
"4043" "LJ9250" "X1670" 0.0260166549792302 0.106845841958535 "NoSignificant" 0.470573454842811 "NoSignificant"
"6416" "LP0049" "X1670" -0.0301055290113501 0.111209946265293 "NoSignificant" 0.470573454842811 "NoSignificant"
"8789" "LT9243" "X1670" -0.0410418499737317 0.117693420396982 "NoSignificant" 0.470573454842811 "NoSignificant"
"11162" "LY9208" "X1670" -0.0366604847860819 0.0817922995717274 "NoSignificant" 0.470573454842811 "NoSignificant"
"13535" "SI7820" "X1670" -0.0581605803650174 0.467727380008771 "NoSignificant" 0.656367281348796 "NoSignificant"
"15908" "SI9227" "X1670" 0.00424299801057959 0.846677607832662 "NoSignificant" 0.912750172655704 "NoSignificant"
"18281" "SP7498" "X1670" -0.133726326579585 0.041063465699805 "q < 0.05" 0.470573454842811 "NoSignificant"
"20654" "SP9509" "X1670" -0.0784310273199766 0.224514943355856 "NoSignificant" 0.504785712662045 "NoSignificant"
"992" "LA7339" "X992" -0.00907148714072248 0.659792234061881 "NoSignificant" 0.792117128394418 "NoSignificant"
"3365" "LJ9250" "X992" -0.0167668703228201 0.48146468499236 "NoSignificant" 0.667397945800442 "NoSignificant"
"5738" "LP0049" "X992" -0.00142013047672762 0.931297589245326 "NoSignificant" 0.960825670481596 "NoSignificant"
"8111" "LT9243" "X992" -0.0742058005572046 0.169386697688677 "NoSignificant" 0.476224769427642 "NoSignificant"
"10484" "LY9208" "X992" -0.0488599720059923 0.267249001827175 "NoSignificant" 0.524584099625992 "NoSignificant"
"12857" "SI7820" "X992" -0.064591292730817 0.460672025413943 "NoSignificant" 0.652122519173168 "NoSignificant"
"15230" "SI9227" "X992" -0.0333482073496909 0.0956972799832695 "NoSignificant" 0.470573454842811 "NoSignificant"
"17603" "SP7498" "X992" -0.101484994454952 0.185898557764424 "NoSignificant" 0.483703155235722 "NoSignificant"
"19976" "SP9509" "X992" -0.0274620180620375 0.345769549539998 "NoSignificant" 0.573344865653818 "NoSignificant"
"2065" "LA7339" "X2065" -0.0147308833058859 0.491256837991993 "NoSignificant" 0.674365104061897 "NoSignificant"
"4438" "LJ9250" "X2065" -0.0181762637331078 0.414763852550454 "NoSignificant" 0.619361739541326 "NoSignificant"
"6811" "LP0049" "X2065" -0.0158121592484308 0.171607788334208 "NoSignificant" 0.476891860567571 "NoSignificant"
"9184" "LT9243" "X2065" -0.0383832144275891 0.105238405457173 "NoSignificant" 0.470573454842811 "NoSignificant"
"11557" "LY9208" "X2065" -0.0419550811203009 0.113043860555611 "NoSignificant" 0.470573454842811 "NoSignificant"
"13930" "SI7820" "X2065" -0.0440713244691011 0.161759434920534 "NoSignificant" 0.473109666976354 "NoSignificant"
"16303" "SI9227" "X2065" -0.0155185463035274 0.312121789435035 "NoSignificant" 0.553377474428361 "NoSignificant"
"18676" "SP7498" "X2065" -0.0605023991734233 0.100430261924651 "NoSignificant" 0.470573454842811 "NoSignificant"
"21049" "SP9509" "X2065" -0.035901510618527 0.119384685438128 "NoSignificant" 0.470573454842811 "NoSignificant"
"59" "LA7339" "X59" -0.0265810737087913 0.202713452674441 "NoSignificant" 0.492979023613626 "NoSignificant"
"2432" "LJ9250" "X59" -0.0357332223970075 0.187167477226324 "NoSignificant" 0.484607299325358 "NoSignificant"
"4805" "LP0049" "X59" -0.00922634343715201 0.558709827898534 "NoSignificant" 0.721817542461375 "NoSignificant"
"7178" "LT9243" "X59" -0.0441960675029875 0.0888175885494809 "NoSignificant" 0.470573454842811 "NoSignificant"
"9551" "LY9208" "X59" -0.107714076343376 0.0711484029720458 "NoSignificant" 0.470573454842811 "NoSignificant"
"11924" "SI7820" "X59" -0.100445472564363 0.281365451623873 "NoSignificant" 0.533451192847724 "NoSignificant"
"14297" "SI9227" "X59" -0.0301998359209956 0.220367150078809 "NoSignificant" 0.502174693153343 "NoSignificant"
"16670" "SP7498" "X59" -0.123549225623807 0.096855590651557 "NoSignificant" 0.470573454842811 "NoSignificant"
"19043" "SP9509" "X59" -0.0499686943225366 0.0855976689849075 "NoSignificant" 0.470573454842811 "NoSignificant"
"1666" "LA7339" "X1666" -0.0162696425089539 0.614016342898855 "NoSignificant" 0.760249771442216 "NoSignificant"
"4039" "LJ9250" "X1666" -0.0193242442248902 0.605246627327915 "NoSignificant" 0.754588654739763 "NoSignificant"
"6412" "LP0049" "X1666" -0.0174196303336522 0.771894481760162 "NoSignificant" 0.866339949572615 "NoSignificant"
"8785" "LT9243" "X1666" -0.0355350462437536 0.169046739462681 "NoSignificant" 0.476108560557097 "NoSignificant"
