	Experiment	Time	Time2	Plate	nr	Sample	Microbe	Compound	Compound2	Value	Relative	Slope
7223	1	T4	4	P24	24	X29	P129	C3	Compound	0.944	2.291262136	1.681109675
7296	1	T6	6	P24	24	X29	P145B	C3	Compound	0.656	1.263969171	-0.40420891
7331	1	T0	0	P24	24	X30	P131	C3	Compound	0.104	1	0.22820217
7367	1	T1	1	P24	24	X30	P131	C3	Compound	0.559	5.375	0.266061934
7404	1	T2	2	P24	24	X30	P146	C3	Compound	1.035	9.764150943	0.363670151
7440	1	T3	3	P24	24	X30	P146	C3	Compound	1.358	12.81132075	-0.422683664
7475	1	T4	4	P24	24	X30	P131	C3	Compound	1.585	15.24038462	0.340288049
7548	1	T6	6	P24	24	X30	P146	C3	Compound	1.184	11.16981132	0.589807251
7583	1	T0	0	P24	24	X31	P132	C3	Compound	0.227	1	0.598245817
7619	1	T1	1	P24	24	X31	P132	C3	Compound	0.61	2.68722467	-1.308573149
7656	1	T2	2	P24	24	X31	P147	C3	Compound	0.898	1.851546392	0.573214702
7692	1	T3	3	P24	24	X31	P147	C3	Compound	1.081	2.228865979	-0.368541432
7727	1	T4	4	P24	24	X31	P132	C3	Compound	1.089	4.797356828	0.363783505
7800	1	T6	6	P24	24	X31	P147	C3	Compound	0.618	1.274226804	0.231352649
7835	1	T0	0	P24	24	X32	P133	C3	Compound	0.279	1	1.7361957
7871	1	T1	1	P24	24	X32	P133	C3	Compound	0.477	1.709677419	2.236746746
7908	1	T2	2	P24	24	X32	P148	C3	Compound	0.84	2.126582278	1.654827537
7944	1	T3	3	P24	24	X32	P148	C3	Compound	1.028	2.602531646	-1.195990272
7979	1	T4	4	P24	24	X32	P133	C3	Compound	0.926	3.318996416	0.858808939
8052	1	T6	6	P24	24	X32	P148	C3	Compound	0.556	1.407594937	-0.13318881
8087	1	T0	0	P24	24	X33	P128A.112	C4	Compound	0.257	1	1.238208362
8123	1	T1	1	P24	24	X33	P128A.112	C4	Compound	0.564	2.194552529	2.886084227
8160	1	T2	2	P24	24	X33	P141	C4	Compound	0.814	2.060759494	0.92687159
8196	1	T3	3	P24	24	X33	P141	C4	Compound	0.998	2.526582278	-0.679858062
8231	1	T4	4	P24	24	X33	P128A.112	C4	Compound	1.037	4.035019455	0.661797721
8304	1	T6	6	P24	24	X33	P141	C4	Compound	0.609	1.541772152	0.792837655
8339	1	T0	0	P24	24	X34	P128A.12	C4	Compound	0.271	1	1.302175625
8375	1	T1	1	P24	24	X34	P128A.12	C4	Compound	0.574	2.118081181	2.286989173
8412	1	T2	2	P24	24	X34	P142	C4	Compound	0.805	1.939759036	0.854858864
8448	1	T3	3	P24	24	X34	P142	C4	Compound	1.044	2.515662651	-0.636792268
8483	1	T4	4	P24	24	X34	P128A.12	C4	Compound	1.116	4.118081181	0.642649267
8556	1	T6	6	P24	24	X34	P142	C4	Compound	0.645	1.554216867	11.00806101
8591	1	T0	0	P24	24	X35	P128A.22	C4	Compound	0.301	1	5.071898749
8627	1	T1	1	P24	24	X35	P128A.22	C4	Compound	0.337	1.119601329	2.983728173
8664	1	T2	2	P24	24	X35	P143	C4	Compound	0.562	1.37745098	1.270354855
8700	1	T3	3	P24	24	X35	P143	C4	Compound	0.726	1.779411765	-0.756682593
8735	1	T4	4	P24	24	X35	P128A.22	C4	Compound	0.858	2.850498339	1.516474376
8808	1	T6	6	P24	24	X35	P143	C4	Compound	0.637	1.56127451	9.086178131
8843	1	T0	0	P24	24	X36	P128B	C4	Compound	0.114	1	0
8879	1	T1	1	P24	24	X36	P128B	C4	Compound	0.107	0.938596491	23.93875467
8916	1	T2	2	P24	24	X36	P144	C4	Compound	0.106	1	-23.52700033
8952	1	T3	3	P24	24	X36	P144	C4	Compound	0.107	1.009433962	12.06579192
8987	1	T4	4	P24	24	X36	P128B	C4	Compound	0.108	0.947368421	5.544889055
9060	1	T6	6	P24	24	X36	P144	C4	Compound	0.108	1.018867925	3.568714283
9095	1	T0	0	P24	24	X37	P129	C4	Compound	1.125	1	0.838142665
9131	1	T1	1	P24	24	X37	P129	C4	Compound	0.461	0.409777778	1.156537295
9168	1	T2	2	P24	24	X37	P145B	C4	Compound	0.563	1.706060606	-1.199142185
9204	1	T3	3	P24	24	X37	P145B	C4	Compound	0.573	1.736363636	0.291113269
9239	1	T4	4	P24	24	X37	P129	C4	Compound	0.547	0.486222222	2.04649166
9312	1	T6	6	P24	24	X37	P145B	C4	Compound	0.547	1.657575758	1.281791518
9347	1	T0	0	P24	24	X38	P131	C4	Compound	0.321	1	1.177709649
9383	1	T1	1	P24	24	X38	P131	C4	Compound	0.693	2.158878505	3.220788102
9420	1	T2	2	P24	24	X38	P146	C4	Compound	0.605	2.585470085	-5.383835718
9456	1	T3	3	P24	24	X38	P146	C4	Compound	0.579	2.474358974	-6.707810275
9491	1	T4	4	P24	24	X38	P131	C4	Compound	0.716	2.230529595	4.093571186
9564	1	T6	6	P24	24	X38	P146	C4	Compound	0.476	2.034188034	5.580889835
9599	1	T0	0	P24	24	X39	P132	C4	Compound	0.739	1	0.812261631
9635	1	T1	1	P24	24	X39	P132	C4	Compound	0.802	1.085250338	0.811565491
9672	1	T2	2	P24	24	X39	P147	C4	Compound	1.06	2.928176796	-1.118230839
9708	1	T3	3	P24	24	X39	P147	C4	Compound	1.025	2.831491713	-1.453272678
9743	1	T4	4	P24	24	X39	P132	C4	Compound	1.106	1.49661705	9.318720112
9816	1	T6	6	P24	24	X39	P147	C4	Compound	0.582	1.607734807	-0.082346272
9851	1	T0	0	P24	24	X40	P133	C4	Compound	0.328	1	0.845298342
9887	1	T1	1	P24	24	X40	P133	C4	Compound	0.909	2.771341463	6.779933786
9924	1	T2	2	P24	24	X40	P148	C4	Compound	1.068	2.848	4.64995458
9960	1	T3	3	P24	24	X40	P148	C4	Compound	1.143	3.048	-1.863614752
9995	1	T4	4	P24	24	X40	P133	C4	Compound	1.075	3.277439024	1.522306905
10068	1	T6	6	P24	24	X40	P148	C4	Compound	0.723	1.928	0.551921422
10103	1	T0	0	P24	24	X41	P128A.112	Blank	Blank	0.319	1	0.798202538
10139	1	T1	1	P24	24	X41	P128A.112	Blank	Blank	0.908	2.846394984	4.732638059
10176	1	T2	2	P24	24	X41	P141	Blank	Blank	1.107	3.109550562	4.197205064
10212	1	T3	3	P24	24	X41	P141	Blank	Blank	1.16	3.258426966	-1.483909343
10247	1	T4	4	P24	24	X41	P128A.112	Blank	Blank	1.138	3.567398119	1.18856446
10320	1	T6	6	P24	24	X41	P141	Blank	Blank	0.668	1.876404494	-0.155254817
10355	1	T0	0	P24	24	X42	P128A.12	Blank	Blank	0.104	1	0.123719524
10391	1	T1	1	P24	24	X42	P128A.12	Blank	Blank	1.229	11.81730769	0.332944245
10428	1	T2	2	P24	24	X42	P142	Blank	Blank	1.759	16.28703704	2.306166556
10464	1	T3	3	P24	24	X42	P142	Blank	Blank	1.804	16.7037037	-0.531418307
10499	1	T4	4	P24	24	X42	P128A.12	Blank	Blank	1.784	17.15384615	0.298666252
10572	1	T6	6	P24	24	X42	P142	Blank	Blank	1.339	12.39814815	0.519464222
10607	1	T0	0	P24	24	X43	P128A.22	Blank	Blank	0.44	1	0.442923203
10643	1	T1	1	P24	24	X43	P128A.22	Blank	Blank	1.116	2.536363636	0.52561977
10680	1	T2	2	P24	24	X43	P143	Blank	Blank	1.26	5.384615385	-0.54081457
10716	1	T3	3	P24	24	X43	P143	Blank	Blank	1.29	5.512820513	-0.56063567
10751	1	T4	4	P24	24	X43	P128A.22	Blank	Blank	1.208	2.745454545	2.296974485
10824	1	T6	6	P24	24	X43	P143	Blank	Blank	0.845	3.611111111	2.013289571
10859	1	T0	0	P24	24	X44	P128B	Blank	Blank	1.189	1	0.28415784
10895	1	T1	1	P24	24	X44	P128B	Blank	Blank	0.98	0.824222035	0.28088741
10932	1	T2	2	P24	24	X44	P144	Blank	Blank	1.384	6.0969163	-0.324651021
10968	1	T3	3	P24	24	X44	P144	Blank	Blank	1.256	5.533039648	-0.215582991
11003	1	T4	4	P24	24	X44	P128B	Blank	Blank	1.159	0.974768713	1.732021587
11076	1	T6	6	P24	24	X44	P144	Blank	Blank	0.744	3.27753304	2.120599085
11111	1	T0	0	P24	24	X45	P129	Blank	Blank	1.776	1	0.275213661
11147	1	T1	1	P24	24	X45	P129	Blank	Blank	1.044	0.587837838	0.273102159
11184	1	T2	2	P24	24	X45	P145B	Blank	Blank	1.429	6.004201681	-0.314358549
11220	1	T3	3	P24	24	X45	P145B	Blank	Blank	1.285	5.399159664	-0.203343702
11255	1	T4	4	P24	24	X45	P129	Blank	Blank	1.237	0.696509009	1.569821433
11328	1	T6	6	P24	24	X45	P145B	Blank	Blank	0.74	3.109243697	2.831837236
11363	1	T0	0	P24	24	X46	P131	Blank	Blank	0.438	1	0.396139403
11399	1	T1	1	P24	24	X46	P131	Blank	Blank	0.909	2.075342466	0.424147954
11436	1	T2	2	P24	24	X46	P146	Blank	Blank	1.313	5.611111111	-0.462191432
11472	1	T3	3	P24	24	X46	P146	Blank	Blank	1.325	5.662393162	-0.520398287
11507	1	T4	4	P24	24	X46	P131	Blank	Blank	1.059	2.417808219	2.699686395
11580	1	T6	6	P24	24	X46	P146	Blank	Blank	0.757	3.235042735	2.629373657
11615	1	T0	0	P24	24	X47	P132	Blank	Blank	0.627	1	0.507782001
11651	1	T1	1	P24	24	X47	P132	Blank	Blank	0.793	1.264752791	0.48613665
11688	1	T2	2	P24	24	X47	P147	Blank	Blank	1.066	4.196850394	-0.648230974
11724	1	T3	3	P24	24	X47	P147	Blank	Blank	0.914	3.598425197	-0.073620061
11759	1	T4	4	P24	24	X47	P132	Blank	Blank	0.886	1.41307815	2.446427276
11832	1	T6	6	P24	24	X47	P147	Blank	Blank	0.774	3.047244094	2.599522992
11867	1	T0	0	P24	24	X48	P133	Blank	Blank	0.118	1	0
11903	1	T1	1	P24	24	X48	P133	Blank	Blank	0.106	0.898305085	14.75000004
11940	1	T2	2	P24	24	X48	P148	Blank	Blank	0.106	1	-17.69999994
11976	1	T3	3	P24	24	X48	P148	Blank	Blank	0.106	1	8.172871216
12011	1	T4	4	P24	24	X48	P133	Blank	Blank	0.108	0.915254237	-5.825028424
12084	1	T6	6	P24	24	X48	P148	Blank	Blank	0.107	1.009433962	-9.506907229
12119	1	T0	0	P24	24	X49	P136	Control	Control	0.447	1	13.06633444
12155	1	T1	1	P24	24	X49	P136	Control	Control	0.46	1.029082774	6.068236755
12192	1	T2	2	P24	24	X49	P149	Control	Control	0.413	1.137741047	-6.301434434
12228	1	T3	3	P24	24	X49	P149	Control	Control	0.387	1.066115702	3.384402039
12263	1	T4	4	P24	24	X49	P136	Control	Control	0.378	0.845637584	4.948392902
12336	1	T6	6	P24	24	X49	P149	Control	Control	0.399	1.099173554	-2.087661598
12371	1	T0	0	P24	24	X50	P138	Control	Control	0.447	1	2.414083546
12407	1	T1	1	P24	24	X50	P138	Control	Control	0.724	1.619686801	-14.69337253
12444	1	T2	2	P24	24	X50	P150	Control	Control	0.433	1.652671756	-3.286102967
12480	1	T3	3	P24	24	X50	P150	Control	Control	0.418	1.595419847	2.125679616
12515	1	T4	4	P24	24	X50	P138	Control	Control	0.512	1.14541387	6.414360839
12588	1	T6	6	P24	24	X50	P150	Control	Control	0.464	1.770992366	4.915985658
12623	1	T0	0	P24	24	X51	P139A	Control	Control	0.513	1	1.510163302
12659	1	T1	1	P24	24	X51	P139A	Control	Control	0.888	1.730994152	2.543925353
12696	1	T2	2	P24	24	X51	P152	Control	Control	0.821	2.31920904	-2.270862456
12732	1	T3	3	P24	24	X51	P152	Control	Control	0.811	2.290960452	-2.895242009
12767	1	T4	4	P24	24	X51	P139A	Control	Control	0.837	1.631578947	6.80063035
12840	1	T6	6	P24	24	X51	P152	Control	Control	0.479	1.353107345	2.215500396
12875	1	T0	0	P24	24	X52	P139C	Control	Control	0.471	1	1.643871251
12911	1	T1	1	P24	24	X52	P139C	Control	Control	0.77	1.634819533	2.179729353
12948	1	T2	2	P24	24	X52	P153	Control	Control	0.811	2.215846995	-1.613431135
12984	1	T3	3	P24	24	X52	P153	Control	Control	0.924	2.524590164	-2.221950057
13019	1	T4	4	P24	24	X52	P139C	Control	Control	0.882	1.872611465	2.413422285
13092	1	T6	6	P24	24	X52	P153	Control	Control	0.428	1.169398907	-1.113587958
13127	1	T0	0	P24	24	X53	P140A	Control	Control	0.455	1	1.846383012
13163	1	T1	1	P24	24	X53	P140A	Control	Control	0.758	1.665934066	3.255627235
13200	1	T2	2	P24	24	X53	P154	Control	Control	0.756	2.059945504	-2.511488578
13236	1	T3	3	P24	24	X53	P154	Control	Control	0.829	2.258855586	-2.613126094
13271	1	T4	4	P24	24	X53	P140A	Control	Control	0.842	1.850549451	1.979722247
13344	1	T6	6	P24	24	X53	P154	Control	Control	0.406	1.10626703	-0.302381597
13379	1	T0	0	P24	24	X54	P140B	Control	Control	0.103	1	0.193308675
13415	1	T1	1	P24	24	X54	P140B	Control	Control	0.764	7.417475728	0.311218777
13452	1	T2	2	P24	24	X54	P155	Control	Control	1.232	11.0990991	0.533562888
13488	1	T3	3	P24	24	X54	P155	Control	Control	1.531	13.79279279	-0.509517356
13523	1	T4	4	P24	24	X54	P140B	Control	Control	1.485	14.41747573	0.342215261
13596	1	T6	6	P24	24	X54	P155	Control	Control	1.05	9.459459459	0.65968124
13631	1	T0	0	P24	24	X55	P140C.1	Control	Control	0.557	1	0.81176661
13667	1	T1	1	P24	24	X55	P140C.1	Control	Control	0.667	1.197486535	0.817121564
13704	1	T2	2	P24	24	X55	P160	Control	Control	0.929	3.026058632	-1.073380661
13740	1	T3	3	P24	24	X55	P160	Control	Control	0.895	2.915309446	-1.267031564
13775	1	T4	4	P24	24	X55	P140C.1	Control	Control	0.85	1.526032316	7.317760541
13848	1	T6	6	P24	24	X55	P160	Control	Control	0.56	1.824104235	7.111994897
13883	1	T0	0	P24	24	X56	P140C.2	Control	Control	0.529	1	0.743850378
13919	1	T1	1	P24	24	X56	P140C.2	Control	Control	0.767	1.449905482	0.775347092
13956	1	T2	2	P24	24	X56	P162	Control	Control	0.984	3.381443299	-0.951866772
13992	1	T3	3	P24	24	X56	P162	Control	Control	0.962	3.305841924	-1.265438725
14027	1	T4	4	P24	24	X56	P140C.2	Control	Control	0.917	1.733459357	6.753966517
14100	1	T6	6	P24	24	X56	P162	Control	Control	0.513	1.762886598	5.781111453
14135	1	T0	0	P24	24	X57	P136	C1	Compound	0.981	1	0.546220605
14171	1	T1	1	P24	24	X57	P136	C1	Compound	0.761	0.775739042	0.547853742
14208	1	T2	2	P24	24	X57	P149	C1	Compound	0.984	3.501779359	-0.608176716
14244	1	T3	3	P24	24	X57	P149	C1	Compound	0.935	3.327402135	-0.500627144
14279	1	T4	4	P24	24	X57	P136	C1	Compound	0.856	0.872579001	3.60882039
14352	1	T6	6	P24	24	X57	P149	C1	Compound	0.541	1.925266904	2.460409841
14387	1	T0	0	P24	24	X58	P138	C1	Compound	0.353	1	0.789732144
14423	1	T1	1	P24	24	X58	P138	C1	Compound	0.762	2.158640227	1.077016537
14460	1	T2	2	P24	24	X58	P150	C1	Compound	0.924	3.526717557	-1.287616121
14496	1	T3	3	P24	24	X58	P150	C1	Compound	0.879	3.354961832	-1.773951891
14531	1	T4	4	P24	24	X58	P138	C1	Compound	0.781	2.212464589	4.168330292
14604	1	T6	6	P24	24	X58	P150	C1	Compound	0.551	2.103053435	3.9661049
14639	1	T0	0	P24	24	X59	P139A	C1	Compound	0.758	1	0.87367944
14675	1	T1	1	P24	24	X59	P139A	C1	Compound	0.504	0.664907652	0.879513273
14712	1	T2	2	P24	24	X59	P152	C1	Compound	0.7	2.295081967	-1.199156591
14748	1	T3	3	P24	24	X59	P152	C1	Compound	0.604	1.980327869	0.261506562
14783	1	T4	4	P24	24	X59	P139A	C1	Compound	0.603	0.795514512	3.33163475
14856	1	T6	6	P24	24	X59	P152	C1	Compound	0.573	1.878688525	6.011646375
14891	1	T0	0	P24	24	X60	P139C	C1	Compound	0.113	1	-19.86858329
14927	1	T1	1	P24	24	X60	P139C	C1	Compound	0.107	0.946902655	54.35057694
14964	1	T2	2	P24	24	X60	P153	C1	Compound	0.104	0.971962617	-32.72886333
15000	1	T3	3	P24	24	X60	P153	C1	Compound	0.105	0.981308411	11.55927339
15035	1	T4	4	P24	24	X60	P139C	C1	Compound	0.106	0.938053097	-45.13615077
15108	1	T6	6	P24	24	X60	P153	C1	Compound	0.105	0.981308411	-5.814157523
15143	1	T0	0	P24	24	X61	P140A	C1	Compound	0.363	1	-0.514219823
15179	1	T1	1	P24	24	X61	P140A	C1	Compound	0.498	1.371900826	-3.490040751
15216	1	T2	2	P24	24	X61	P154	C1	Compound	0.527	0.944444444	3.133422974
15252	1	T3	3	P24	24	X61	P154	C1	Compound	0.544	0.974910394	-1.653320982
15287	1	T4	4	P24	24	X61	P140A	C1	Compound	0.527	1.451790634	0.000663492
15360	1	T6	6	P24	24	X61	P154	C1	Compound	0.495	0.887096774	-2.033661323
15395	1	T0	0	P24	24	X62	P140B	C1	Compound	0.355	1	0.298727718
15431	1	T1	1	P24	24	X62	P140B	C1	Compound	0.756	2.129577465	-1.621164615
15468	1	T2	2	P24	24	X62	P155	C1	Compound	0.52	1.214953271	6.217793866
15504	1	T3	3	P24	24	X62	P155	C1	Compound	0.56	1.308411215	-4.799006213
15539	1	T4	4	P24	24	X62	P140B	C1	Compound	0.54	1.521126761	4.681388381
15612	1	T6	6	P24	24	X62	P155	C1	Compound	0.483	1.128504673	35.40027173
15647	1	T0	0	P24	24	X63	P140C.1	C1	Compound	0.851	1	1.997205788
15683	1	T1	1	P24	24	X63	P140C.1	C1	Compound	0.823	0.967097532	1.999566778
15720	1	T2	2	P24	24	X63	P160	C1	Compound	0.939	1.716636197	-2.295137939
15756	1	T3	3	P24	24	X63	P160	C1	Compound	0.951	1.73857404	-3.090098382
15791	1	T4	4	P24	24	X63	P140C.1	C1	Compound	0.924	1.085781434	-6.471880039
15864	1	T6	6	P24	24	X63	P160	C1	Compound	0.524	0.957952468	-2.298457714
15899	1	T0	0	P24	24	X64	P140C.2	C1	Compound	0.439	1	1.382360119
15935	1	T1	1	P24	24	X64	P140C.2	C1	Compound	0.849	1.933940774	-4.872940111
15972	1	T2	2	P24	24	X64	P162	C1	Compound	0.966	1.626262626	2.687063724
16008	1	T3	3	P24	24	X64	P162	C1	Compound	0.962	1.61952862	-1.712191952
16043	1	T4	4	P24	24	X64	P140C.2	C1	Compound	0.956	2.177676538	0.623095674
16116	1	T6	6	P24	24	X64	P162	C1	Compound	0.555	0.934343434	-2.944186225
16151	1	T0	0	P24	24	X65	P136	C2	Compound	0.478	1	1.947779237
16187	1	T1	1	P24	24	X65	P136	C2	Compound	0.845	1.767782427	28.15782738
16224	1	T2	2	P24	24	X65	P149	C2	Compound	0.969	1.811214953	6.345683745
16260	1	T3	3	P24	24	X65	P149	C2	Compound	0.983	1.837383178	-2.353538506
16295	1	T4	4	P24	24	X65	P136	C2	Compound	0.99	2.071129707	0.999484973
16368	1	T6	6	P24	24	X65	P149	C2	Compound	0.543	1.014953271	-0.268178599
16403	1	T0	0	P24	24	X66	P138	C2	Compound	0.102	1	0.172280717
16439	1	T1	1	P24	24	X66	P138	C2	Compound	0.86	8.431372549	0.3518713
16476	1	T2	2	P24	24	X66	P150	C2	Compound	1.319	12.21296296	0.830582739
16512	1	T3	3	P24	24	X66	P150	C2	Compound	1.493	13.82407407	-0.524317557
16547	1	T4	4	P24	24	X66	P138	C2	Compound	1.478	14.49019608	0.343709051
16620	1	T6	6	P24	24	X66	P150	C2	Compound	1.045	9.675925926	0.673816649
16655	1	T0	0	P24	24	X67	P139A	C2	Compound	0.388	1	1.073036636
16691	1	T1	1	P24	24	X67	P139A	C2	Compound	0.75	1.932989691	-3.214224602
16728	1	T2	2	P24	24	X67	P152	C2	Compound	0.823	1.467023173	2.346144865
16764	1	T3	3	P24	24	X67	P152	C2	Compound	0.833	1.484848485	-1.553461101
16799	1	T4	4	P24	24	X67	P139A	C2	Compound	0.824	2.12371134	0.264275463
16872	1	T6	6	P24	24	X67	P152	C2	Compound	0.459	0.818181818	-3.089156333
16907	1	T0	0	P24	24	X68	P139C	C2	Compound	0.439	1	1.771351838
16943	1	T1	1	P24	24	X68	P139C	C2	Compound	0.799	1.820045558	9.25143152
16980	1	T2	2	P24	24	X68	P153	C2	Compound	0.89	1.982182628	-14.57562244
17016	1	T3	3	P24	24	X68	P153	C2	Compound	0.89	1.982182628	-2.659589358
17051	1	T4	4	P24	24	X68	P139C	C2	Compound	0.825	1.879271071	0.941414787
17124	1	T6	6	P24	24	X68	P153	C2	Compound	0.435	0.968819599	-26.4560043
17159	1	T0	0	P24	24	X69	P140A	C2	Compound	0.642	1	2.751744246
17195	1	T1	1	P24	24	X69	P140A	C2	Compound	0.706	1.099688474	2.828563211
17232	1	T2	2	P24	24	X69	P154	C2	Compound	0.764	1.628997868	-3.202844222
17268	1	T3	3	P24	24	X69	P154	C2	Compound	0.775	1.652452026	-4.096948324
17303	1	T4	4	P24	24	X69	P140A	C2	Compound	0.761	1.185358255	4.199878926
17376	1	T6	6	P24	24	X69	P154	C2	Compound	0.465	0.991471215	-1.911756651
17411	1	T0	0	P24	24	X70	P140B	C2	Compound	0.346	1	1.121193701
17447	1	T1	1	P24	24	X70	P140B	C2	Compound	0.713	2.060693642	-3.480400532
17484	1	T2	2	P24	24	X70	P155	C2	Compound	0.728	1.63963964	-7.431123294
17520	1	T3	3	P24	24	X70	P155	C2	Compound	0.697	1.56981982	-5.630148359
17555	1	T4	4	P24	24	X70	P140B	C2	Compound	0.48	1.387283237	3.869689675
17628	1	T6	6	P24	24	X70	P155	C2	Compound	0.46	1.036036036	20.75043533
17663	1	T0	0	P24	24	X71	P140C.1	C2	Compound	0.556	1	3.838727178
17699	1	T1	1	P24	24	X71	P140C.1	C2	Compound	0.486	0.874100719	4.725055501
17736	1	T2	2	P24	24	X71	P160	C2	Compound	0.487	1.173493976	-5.683262085
17772	1	T3	3	P24	24	X71	P160	C2	Compound	0.46	1.108433735	2.217958078
17807	1	T4	4	P24	24	X71	P140C.1	C2	Compound	0.477	0.857913669	6.411226989
17880	1	T6	6	P24	24	X71	P160	C2	Compound	0.463	1.115662651	29.26191023
17915	1	T0	0	P24	24	X72	P140C.2	C2	Compound	0.113	1	-11.02882739
17951	1	T1	1	P24	24	X72	P140C.2	C2	Compound	0.105	0.92920354	33.75688014
17988	1	T2	2	P24	24	X72	P162	C2	Compound	0.104	0.971962617	-27.70207486
18024	1	T3	3	P24	24	X72	P162	C2	Compound	0.105	0.981308411	15.02388995
18059	1	T4	4	P24	24	X72	P140C.2	C2	Compound	0.105	0.92920354	-24.37667759
18132	1	T6	6	P24	24	X72	P162	C2	Compound	0.106	0.990654206	14.42254327
18167	1	T0	0	P24	24	X73	P136	C3	Compound	0.454	1	1.792438859
18203	1	T1	1	P24	24	X73	P136	C3	Compound	0.401	0.883259912	1.762058636
18240	1	T2	2	P24	24	X73	P149	C3	Compound	0.517	1.700657895	-1.964031652
18276	1	T3	3	P24	24	X73	P149	C3	Compound	0.573	1.884868421	-1.609661857
18311	1	T4	4	P24	24	X73	P136	C3	Compound	0.539	1.18722467	11.1580989
18384	1	T6	6	P24	24	X73	P149	C3	Compound	0.459	1.509868421	1.735284937
18419	1	T0	0	P24	24	X74	P138	C3	Compound	0.353	1	1.158679169
18455	1	T1	1	P24	24	X74	P138	C3	Compound	0.666	1.886685552	1.778858089
18492	1	T2	2	P24	24	X74	P150	C3	Compound	0.616	2.725663717	-1.332730766
18528	1	T3	3	P24	24	X74	P150	C3	Compound	0.63	2.787610619	-0.556981928
18563	1	T4	4	P24	24	X74	P138	C3	Compound	0.588	1.66572238	4.439005151
18636	1	T6	6	P24	24	X74	P150	C3	Compound	0.531	2.349557522	4.501513367
18671	1	T0	0	P24	24	X75	P139A	C3	Compound	0.602	1	0.76697222
18707	1	T1	1	P24	24	X75	P139A	C3	Compound	0.766	1.272425249	0.779549939
18744	1	T2	2	P24	24	X75	P152	C3	Compound	0.904	3.19434629	-0.8201963
18780	1	T3	3	P24	24	X75	P152	C3	Compound	0.923	3.261484099	-0.846515296
18815	1	T4	4	P24	24	X75	P139A	C3	Compound	0.864	1.435215947	5.80832175
18888	1	T6	6	P24	24	X75	P152	C3	Compound	0.569	2.010600707	1.832375266
18923	1	T0	0	P24	24	X75	P139C	C3	Compound	0.346	1	0.84581828
18959	1	T1	1	P24	24	X75	P139C	C3	Compound	0.823	2.378612717	1.554180478
18996	1	T2	2	P24	24	X75	P153	C3	Compound	1.042	3.33974359	-2.245660515
19032	1	T3	3	P24	24	X75	P153	C3	Compound	1.062	3.403846154	-2.033766001
19067	1	T4	4	P24	24	X75	P139C	C3	Compound	0.949	2.742774566	2.372564428
19140	1	T6	6	P24	24	X75	P153	C3	Compound	0.598	1.916666667	4.868337251
19175	1	T0	0	P24	24	X77	P140A	C3	Compound	0.412	1	0.870676237
19211	1	T1	1	P24	24	X77	P140A	C3	Compound	0.726	1.762135922	1.026255385
19248	1	T2	2	P24	24	X77	P154	C3	Compound	0.951	3.223728814	-1.516928956
19284	1	T3	3	P24	24	X77	P154	C3	Compound	0.949	3.216949153	-1.976102609
19319	1	T4	4	P24	24	X77	P140A	C3	Compound	0.918	2.22815534	3.957657456
19392	1	T6	6	P24	24	X77	P154	C3	Compound	0.556	1.884745763	-0.167907286
19427	1	T0	0	P24	24	X78	P140B	C3	Compound	0.104	1	0.14741186
19463	1	T1	1	P24	24	X78	P140B	C3	Compound	1.117	10.74038462	0.380322822
19500	1	T2	2	P24	24	X78	P155	C3	Compound	1.381	13.02830189	0.346586446
19536	1	T3	3	P24	24	X78	P155	C3	Compound	1.693	15.97169811	-0.334006748
19571	1	T4	4	P24	24	X78	P140B	C3	Compound	1.955	18.79807692	0.279672056
19644	1	T6	6	P24	24	X78	P155	C3	Compound	1.583	14.93396226	0.394632132
19679	1	T0	0	P24	24	X79	P140C.1	C3	Compound	1.245	1	0.724866467
19715	1	T1	1	P24	24	X79	P140C.1	C3	Compound	1.239	0.995180723	0.707121911
19752	1	T2	2	P24	24	X79	P160	C3	Compound	1.425	3.064516129	-0.683866817
19788	1	T3	3	P24	24	X79	P160	C3	Compound	1.59	3.419354839	-0.252717204
19823	1	T4	4	P24	24	X79	P140C.1	C3	Compound	1.615	1.297188755	2.982642209
19896	1	T6	6	P24	24	X79	P160	C3	Compound	1.23	2.64516129	3.493169777
19931	1	T0	0	P24	24	X80	P140C.2	C3	Compound	0.523	1	0.44934684
19967	1	T1	1	P24	24	X80	P140C.2	C3	Compound	1.02	1.950286807	0.46265386
20004	1	T2	2	P24	24	X80	P162	C3	Compound	1.221	5.066390041	-0.473679529
20040	1	T3	3	P24	24	X80	P162	C3	Compound	1.388	5.7593361	-0.328941664
20075	1	T4	4	P24	24	X80	P140C.2	C3	Compound	1.467	2.804971319	1.827656512
20148	1	T6	6	P24	24	X80	P162	C3	Compound	1.038	4.307053942	1.707466132
20183	1	T0	0	P24	24	X81	P136	C4	Compound	0.884	1	0.553039762
20219	1	T1	1	P24	24	X81	P136	C4	Compound	1.01	1.142533937	0.527702333
20256	1	T2	2	P24	24	X81	P149	C4	Compound	1.162	3.847682119	-0.45834967
20292	1	T3	3	P24	24	X81	P149	C4	Compound	1.368	4.529801325	-0.188477264
20327	1	T4	4	P24	24	X81	P136	C4	Compound	1.283	1.451357466	2.092977013
20400	1	T6	6	P24	24	X81	P149	C4	Compound	1.017	3.367549669	2.318727467
20435	1	T0	0	P24	24	X82	P138	C4	Compound	0.418	1	0.807694896
