"ID" "Species" "Treatment" "Replicates" "Day_0" "Day_3" "Day_5" "Day_7" "Day_12" "Day_14" "Day_17" "Day_19" "Day_21" "Day_25" "Max" "Tfmax" "derivada_Total_vel" "derivada_Initial_vel" "Total_vel" "Initial_vel"
"133" 133 "SP9192" "With-Microbiome" 3 1 1.819620182 2.134439136 2.453496856 2.726565884 2.379387381 3.407050661 NA 3.133219957 3.137903455 3.407050661 17 7.49562476 4.730073614 0.133411161 0.2114132
"134" 134 "SP9192" "With-Microbiome" 4 1 1.479628572 1.9508492 2.483830343 2.127565008 2.112500287 2.668013927 2.294891604 2.339762839 2.742966166 2.742966166 25 12.57065589 4.660424976 0.079550344 0.214572706
"135" 135 "SP9192" "With-Microbiome" 5 1 1.586222862 1.627966195 2.166966574 1.964616462 2.124604822 2.198505981 2.051813646 2.169416468 2.316307014 2.316307014 25 17.07950291 6.064376874 0.058549713 0.164897403
"136" 136 "LP7760" "With-Microbiome" 1 1 1.792929095 2.922325396 3.245642883 3.47176857 4.294979895 3.163823405 3.779655062 4.134743971 2.120911085 4.294979895 14 4.221274526 2.833085179 0.236895277 0.352972091
"137" 137 "LP7760" "With-Microbiome" 2 1 1.295812967 2.423409604 NA NA 5.038882127 4.064953621 4.718999711 3.88312338 3.859187811 5.038882127 14 3.24341776 3.03085812 0.308316743 0.329939562
"138" 138 "LP7760" "With-Microbiome" 3 1 1.669271016 2.431023326 3.503556699 3.132800342 3.643788186 4.622021563 3.29938461 4.043706083 3.058285584 4.622021563 17 4.653572097 2.719837763 0.214888687 0.367668989
"139" 139 "LP7760" "With-Microbiome" 4 1 1.499028863 2.238051058 2.929719172 2.152591282 3.961792305 2.667281565 2.681739486 2.237114513 2.335363988 3.961792305 14 4.228370084 3.472000178 0.236497747 0.288018418
"140" 140 "LP7760" "With-Microbiome" 5 1 1.526310251 2.645584109 3.882112325 2.897733246 5.099867647 3.76328993 NA NA 3.228327813 5.099867647 14 3.052602281 2.248189589 0.327589351 0.444802345
"141" 141 "LP0049" "With-Microbiome" 1 1 1.234149871 1.647934899 2.152814392 2.266286949 2.388947104 1.651956856 2.733767961 1.719129255 2.048110082 2.733767961 19 8.99718844 5.701224506 0.111145833 0.175400916
"142" 142 "LP0049" "With-Microbiome" 2 1 1.613106929 2.711968218 2.782000521 3.426770501 3.907540784 5.211644422 3.279402948 3.813784457 3.626525087 5.211644422 17 4.288023478 3.298379068 0.233207678 0.303179222
"143" 143 "LP0049" "With-Microbiome" 3 1 1.277096067 2.021333926 2.602974025 2.790795842 NA 2.837578265 3.018171235 3.460335628 2.36534495 3.460335628 21 8.437980392 3.961469009 0.118511771 0.25243161
"144" 144 "LP0049" "With-Microbiome" 4 1 1.416423512 1.57591187 2.236563138 1.679324773 NA NA 1.527157449 2.732005667 1.474414508 2.732005667 21 9.120465192 5.587662466 0.10964353 0.178965714
"145" 145 "LP0049" "With-Microbiome" 5 1 1.512791042 1.907157171 2.082710939 2.027096577 1.960734573 1.997319442 NA 2.681818324 2.22489609 2.681818324 21 12.79292203 6.164961874 0.078168224 0.162207005
"146" 146 "LT9109" "With-Microbiome" 1 1 1.674557815 2.895675616 NA NA 4.962526291 NA NA NA 2.898749786 4.962526291 14 3.418926352 2.51713612 0.292489483 0.397276886
"147" 147 "LT9109" "With-Microbiome" 2 1 1.474107934 1.95883248 3.012623643 NA NA NA NA NA 6.39145668 6.39145668 25 4.526660452 3.315942088 0.220913411 0.301573421
"148" 148 "LT9109" "With-Microbiome" 3 1 2.182017536 3.54962857 5.550863464 4.694799753 8.436791348 NA NA 7.066204798 4.795323909 8.436791348 14 1.840121072 1.491588621 0.543442502 0.670426139
"149" 149 "LT9109" "With-Microbiome" 4 1 1.903762586 3.696811315 NA NA 4.216562766 NA NA NA 3.679755872 4.216562766 14 3.48117574 1.749857456 0.287259269 0.57147512
"150" 150 "LT9109" "With-Microbiome" 5 1 1.091514798 2.403085138 NA NA 5.035971485 3.116730092 3.235807412 NA 2.28261558 5.035971485 14 3.142907678 2.681219446 0.318176702 0.372964623
"151" 151 "LJ9250" "With-Microbiome" 1 1 1.804246491 2.43923779 4.115385258 3.32762782 NA 3.738136334 2.950206269 3.259842702 2.845651465 4.115385258 7 2.15862788 2.15862788 0.463257243 0.463257243
"152" 152 "LJ9250" "With-Microbiome" 2 1 1.636345316 2.851737807 4.473053643 4.016819748 5.125477453 4.64899197 3.581644109 3.173470587 4.026924314 5.125477453 14 2.977408638 1.871719478 0.335862531 0.534268095
"153" 153 "LJ9250" "With-Microbiome" 3 1 1.926368437 2.317801205 3.016288238 2.827178381 3.782755981 3.758228516 2.89719069 3.587871304 2.851581656 3.782755981 14 5.131780196 3.536449576 0.194864153 0.282769478
"154" 154 "LJ9250" "With-Microbiome" 4 1 1.955883322 2.600479826 NA 5.114910089 3.9302266 5.389144622 3.623820384 4.054310458 3.844225488 5.389144622 17 3.643440496 3.125164027 0.274465852 0.319983204
"155" 155 "LJ9250" "With-Microbiome" 5 1 1.328495429 1.877337251 2.182093109 3.10829036 2.893695236 2.594453253 3.513747003 3.360696821 2.239938137 3.513747003 19 7.286527195 5.523846866 0.137239589 0.181033259
"156" 156 "LM7123" "With-Microbiome" 1 1 1.435748029 2.426431059 2.761555459 3.246252493 3.371158211 3.916776242 3.85785845 3.701961973 3.21537957 3.916776242 17 5.664956071 3.511979281 0.176523875 0.284739721
"157" 157 "LM7123" "With-Microbiome" 2 1 1.516681399 2.947663105 3.283496442 3.496315272 3.931281636 NA 5.717168697 3.945461266 3.543414862 5.717168697 19 4.107545835 2.601782892 0.243454374 0.384351824
"158" 158 "LM7123" "With-Microbiome" 3 1 1.279820865 2.44760479 3.32330862 2.438938949 4.619058125 4.193854211 2.622242112 3.613738079 2.748103131 4.619058125 14 3.369965167 2.637373204 0.296738972 0.379165148
"159" 159 "LM7123" "With-Microbiome" 4 1 2.413773285 2.815770316 NA NA NA NA NA 6.26696039 4.815746369 6.26696039 21 4.158160734 2.58808618 0.240490944 0.386385897
"160" 160 "LM7123" "With-Microbiome" 5 1 1.321574232 2.696825005 2.72480661 3.124702866 5.012889562 2.94336401 NA 4.884234353 2.849911465 5.012889562 14 3.46294783 3.049462873 0.288771315 0.327926603
"161" 161 "LM8389" "With-Microbiome" 1 1 1.72523544 2.786297135 3.725539964 2.479349381 2.983682463 4.245320334 3.173016115 3.5370413 3.448621977 4.245320334 17 4.301888834 2.459264716 0.23245603 0.406625604
"162" 162 "LM8389" "With-Microbiome" 2 1 1.594005238 2.535856151 2.785756222 2.546885209 2.61639891 3.5114376 4.676259301 3.055968142 2.900213335 4.676259301 19 5.500188342 3.52002408 0.181811956 0.284088966
"163" 163 "LM8389" "With-Microbiome" 3 1 1.706803771 2.670939903 3.571168037 3.182356278 4.09431764 4.103978506 3.116193061 5.388172726 3.207773194 5.388172726 21 4.830319757 2.623268986 0.207025632 0.38120376
"164" 164 "LM8389" "With-Microbiome" 4 1 1.311639202 1.954946081 2.269472638 2.58084254 3.733217078 3.407821212 3.122648298 3.449996734 3.24891452 3.733217078 14 5.24629482 5.021938836 0.190610714 0.19912628
"165" 165 "LM8389" "With-Microbiome" 5 1 1.518644166 1.905222017 3.952961214 2.750327081 4.159174849 4.04886946 3.706719158 3.814188746 3.586815673 4.159174849 14 3.364305414 2.060005085 0.297238175 0.485435695
"166" 166 "LY5280" "With-Microbiome" 1 1 1.219266139 3.711431488 4.252781181 4.149034667 5.037455522 NA NA 3.468170372 4.961980409 5.037455522 14 2.772294239 1.638199619 0.360712072 0.610426219
"167" 167 "LY5280" "With-Microbiome" 2 1 0.597811585 1.739301232 2.291869401 3.530098136 NA NA 2.329104214 NA 3.100474001 3.530098136 12 3.653876514 3.164999928 0.273681936 0.315955773
"168" 168 "LY5280" "With-Microbiome" 3 1 1.301526509 3.480588636 3.562547209 3.342691052 NA NA 2.87964035 3.586007469 3.559439486 3.586007469 21 4.454770595 1.975977623 0.22447845 0.506078606
"169" 169 "LY5280" "With-Microbiome" 4 1 1.335425279 2.038537197 3.657678884 3.118052018 3.027454233 3.027541262 4.374541475 3.463515907 3.08197826 4.374541475 19 4.998688529 2.310793537 0.200052473 0.432751773
"170" 170 "LY5280" "With-Microbiome" 5 1 2.019856713 1.987999051 1.916454304 4.45372803 4.335139237 4.460342545 4.652770918 NA 5.537293481 5.537293481 25 4.838499066 4.801428527 0.206675663 0.20827135
"171" 171 "LV7650" "With-Microbiome" 1 1 1.095572961 2.355026105 2.416893298 4.237902737 NA NA NA NA 4.195138737 4.237902737 12 3.322715604 3.464859884 0.300958649 0.288611959
"172" 172 "LV7650" "With-Microbiome" 2 1 1.832369165 4.480996483 6.404984106 5.359564418 NA NA NA NA 4.049328155 6.404984106 7 1.156454997 1.156454997 0.864711556 0.864711556
"173" 173 "LV7650" "With-Microbiome" 3 1 1.626651128 2.417054582 NA NA NA NA 1.729040449 NA 3.393349328 3.393349328 25 8.704905478 3.485746986 0.114877755 0.286882555
"174" 174 "LV7650" "With-Microbiome" 4 1 1.460657288 2.323145006 2.803744304 2.361150414 4.090654398 NA NA NA 2.535528164 4.090654398 14 4.323725403 3.587476377 0.231282033 0.27874748
"175" 175 "LV7650" "With-Microbiome" 5 1 0.875065962 3.458974586 NA NA NA NA NA 11.69070662 3.236027373 11.69070662 21 1.821801234 1.34141029 0.548907302 0.745484068
"176" 176 "LM7200" "With-Microbiome" 1 1 1.070812821 2.025122419 NA NA NA NA NA NA 2.444187867 2.444187867 25 13.40304986 3.684877419 0.074609884 0.271379448
"177" 177 "LM7200" "With-Microbiome" 2 1 1.335121379 1.916867444 NA NA NA NA 12.12778513 NA 2.007637449 12.12778513 19 1.543431764 5.229436458 0.647906842 0.191225194
"178" 178 "LM7200" "With-Microbiome" 3 1 1.391282534 1.983449093 2.439046687 2.478759795 NA NA NA NA 3.02051277 3.02051277 25 10.5430584 4.631776172 0.094849138 0.215899897
"179" 179 "LM7200" "With-Microbiome" 4 1 0.763451868 1.955433793 2.118925118 2.665342482 NA NA NA 2.266445805 3.002295242 3.002295242 25 9.348005191 3.638589938 0.106974695 0.274831739
"180" 180 "LM7200" "With-Microbiome" 5 1 1.296974471 1.800023719 NA NA NA NA NA NA 3.134102383 3.134102383 25 11.81873881 6.009577695 0.084611397 0.166401044
"181" 181 "LA7339" "With-Microbiome" 1 1 1.881254313 2.992558699 4.040911205 4.791145433 5.082653379 4.413357284 5.645069633 5.001446221 4.660053329 5.645069633 19 3.900259829 2.231823218 0.256393175 0.448064162
"182" 182 "LA7339" "With-Microbiome" 2 1 1.727262551 3.107350145 NA NA 8.60174034 NA NA NA 3.672238712 8.60174034 14 1.7379202 2.251620462 0.575400412 0.444124584
"183" 183 "LA7339" "With-Microbiome" 3 1 1.780534735 2.321418906 3.615108756 3.907852475 NA 5.588552616 5.727917092 6.013900748 4.590330334 6.013900748 21 4.037591081 2.634024 0.247672431 0.379647262
"184" 184 "LA7339" "With-Microbiome" 4 1 2.086676008 3.678014294 NA 4.562866295 7.332037669 5.513355172 4.671145783 4.876527981 3.901656642 7.332037669 14 2.315596195 1.82203099 0.431854225 0.548838085
"185" 185 "LA7339" "With-Microbiome" 5 1 1.741462946 3.044006904 4.070383117 6.689355414 5.824662415 5.667990724 5.170740902 5.161744808 5.833996261 6.689355414 12 2.006769638 2.145675732 0.4983133 0.466053647
"186" 186 "LP8539" "With-Microbiome" 1 1 1.541053616 3.258862151 NA NA NA NA NA NA 3.568296562 3.568296562 25 6.859764487 1.959377482 0.145777599 0.51036618
"187" 187 "LP8539" "With-Microbiome" 2 1 3.463629576 3.280548339 4.753426603 5.81771486 NA NA NA NA 3.575355415 5.81771486 12 2.36299444 1.806888341 0.423191855 0.553437629
"188" 188 "LP8539" "With-Microbiome" 3 1 1.599346246 3.780045207 NA NA NA NA NA NA 2.651325779 3.780045207 5 1.561875756 1.561875756 0.640255793 0.640255793
"189" 189 "LP8539" "With-Microbiome" 4 1 2.342919165 3.735707081 NA NA 4.237647284 NA NA NA 3.064733754 4.237647284 14 3.568430541 1.825257782 0.280235243 0.547867819
"190" 190 "LP8539" "With-Microbiome" 5 1 2.503536347 4.019872036 7.255013507 NA NA 13.33589828 NA NA 6.265552192 13.33589828 17 1.306267383 1.070550013 0.765540052 0.934099283
"191" 191 "LT9243" "With-Microbiome" 1 1 1.292549804 1.670676115 2.355027979 2.628511693 NA 3.244789403 4.303417006 3.764368091 4.596402001 4.596402001 25 6.617802065 4.886359378 0.151107572 0.204651341
"192" 192 "LT9243" "With-Microbiome" 2 1 1.390758368 2.109026496 NA NA NA NA NA 2.780836608 4.472996585 4.472996585 25 7.740207274 4.294847438 0.129195507 0.232837141
"193" 193 "LT9243" "With-Microbiome" 3 1 1.221216321 2.369307969 3.07198405 3.072108677 3.038303704 NA NA 1.802879947 3.312856164 3.312856164 25 5.426220821 2.891383634 0.184290325 0.345855177
"194" 194 "LT9243" "With-Microbiome" 4 1 1.334551582 1.429461449 NA NA NA NA NA NA 3.796868365 3.796868365 25 8.82937713 10.94011899 0.113258272 0.091406684
"195" 195 "LT9243" "With-Microbiome" 5 1 1.694723693 2.007035235 2.462764055 2.692224978 2.76640401 NA NA NA 2.963262458 2.963262458 25 10.37253465 4.847551878 0.096408451 0.206289695
"196" 196 "PS" "With-Microbiome" 1 1 1.170505595 1.157674829 1.214674099 1.53415128 1.577853827 1.928071473 1.850548908 2.130398549 2.212864497 2.212864497 25 18.79397227 29.10928821 0.053208549 0.034353296
"197" 197 "PS" "With-Microbiome" 2 1 1.189923916 1.121179782 1.176478533 1.432996437 1.609882779 1.541278116 1.792503109 1.70965516 1.759799058 1.792503109 19 23.90812544 25.93171389 0.041826784 0.038562819
"198" 198 "PS" "With-Microbiome" 3 1 1.189498577 1.177774509 1.168139778 1.391926448 1.321925168 1.881612665 1.617010884 1.655913318 1.766593818 1.881612665 17 19.05294167 25.97874158 0.052485334 0.038493012
"199" 199 "PS" "With-Microbiome" 4 1 1.132187377 1.263624942 1.23928739 1.381312391 1.342842859 1.782089027 1.646906749 1.614774898 1.3515487 1.782089027 17 22.86581297 23.23172476 0.043733411 0.043044587
"200" 200 "PS" "With-Microbiome" 5 1 1.063374787 1.171797849 1.350848082 1.443116035 1.579016649 1.724725723 1.609401406 1.515550145 1.5571992 1.724725723 17 22.75155301 18.47490929 0.043953044 0.054127465
