"ID" "Species" "Treatment" "Replicates" "Day_0" "Day_3" "Day_5" "Day_7" "Day_12" "Day_14" "Day_17" "Day_19" "Day_21" "Day_25" "Max" "Tfmax" "derivada_Total_vel" "derivada_Initial_vel" "Total_vel" "Initial_vel"
"17" 17 "SP9509" "No-Microbiome" 2 1 1.367174031 1.697353234 NA 1.860981975 2.003689215 2.288504527 2.349119432 2.579848928 2.302038335 2.579848928 21 14.47348172 7.188581714 0.069091876 0.139109499
"18" 18 "SP9509" "No-Microbiome" 3 1 1.17563319 1.461993183 1.715387703 1.818628093 2.315546051 1.866452387 2.010917016 2.466987715 2.520176727 2.520176727 25 14.93643405 9.285366278 0.066950384 0.107696344
"19" 19 "SP9509" "No-Microbiome" 4 1 1.39981732 1.731884572 2.182642647 2.094470202 2.212515644 2.615248445 2.289657261 2.365382007 3.07642164 3.07642164 25 12.85525212 5.90458546 0.077789217 0.169359899
"20" 20 "SP9509" "No-Microbiome" 5 1 1.346317313 1.513282558 1.325432913 2.246844179 2.134175234 2.38380626 2.557102015 2.629392358 3.242737118 3.242737118 25 11.4483816 10.41429717 0.087348591 0.096021842
"21" 21 "SP5543" "No-Microbiome" 1 1 1.01635259 1.420541417 1.482177511 2.213103723 2.025989685 2.347574357 2.276793759 2.727272168 3.165087584 3.165087584 25 11.30191257 10.48398387 0.0884806 0.095383588
"22" 22 "SP5543" "No-Microbiome" 2 1 0.87405085 1.650619066 1.38933277 2.184149978 2.37814256 2.379980845 2.697397291 2.848645291 2.866831817 2.866831817 25 10.7247489 5.690174924 0.093242276 0.175741522
"23" 23 "SP5543" "No-Microbiome" 3 1 1.686877471 1.70218481 2.148419839 2.173329054 2.362479061 2.176425311 2.8237866 3.005761291 3.110668748 3.110668748 25 12.0576547 6.075318614 0.082934868 0.164600421
"24" 24 "SP5543" "No-Microbiome" 4 1 1.194521933 1.717545905 2.261311087 2.523686848 2.325527226 2.879986265 2.629936525 2.85852436 3.500431388 3.500431388 25 10.13447191 5.038109705 0.098673124 0.198487143
"25" 25 "SP5543" "No-Microbiome" 5 1 1.273795411 1.225018872 1.807786516 2.272530154 2.732290032 2.565221543 2.672302712 3.076748216 3.661938074 3.661938074 25 9.291318557 7.688919412 0.107627351 0.130057287
"26" 26 "SP7498" "No-Microbiome" 1 1 1.121054556 1.459827124 1.866528164 1.79789924 2.04325765 2.619683655 2.624124984 2.542926405 3.001253084 3.001253084 25 11.86923557 7.281735589 0.084251424 0.137329897
"27" 27 "SP7498" "No-Microbiome" 2 1 1.666646775 2.221213187 2.182785187 2.839602634 3.238840298 3.578577252 3.717727526 3.921723675 4.330771807 4.330771807 25 7.65810829 4.982464697 0.130580551 0.200703881
"28" 28 "SP7498" "No-Microbiome" 3 1 1.337610023 1.610302434 1.901520635 3.492696768 3.346246952 3.591045589 4.058093647 4.466546765 5.006016546 5.006016546 25 5.840529754 7.745333923 0.171217345 0.129109992
"29" 29 "SP7498" "No-Microbiome" 4 1 1.23580369 1.35783171 1.823684238 2.280267466 3.198954977 2.494094272 2.832543022 2.865293529 3.088292267 3.198954977 14 6.27175491 8.189437972 0.159445006 0.122108502
"30" 30 "SP7498" "No-Microbiome" 5 1 0.936351749 1.680317597 2.039632794 1.914129161 2.512336642 2.607901128 2.942706204 2.776806681 3.321950545 3.321950545 25 9.964026727 4.962307447 0.100361031 0.201519154
"31" 31 "SP9192" "No-Microbiome" 1 1 1.702581504 2.269147535 2.262180107 3.055030083 3.732720681 3.549018741 3.489766082 3.974937205 4.918521772 4.918521772 25 6.88227839 4.76638913 0.145300719 0.209802425
"32" 32 "SP9192" "No-Microbiome" 2 1 1.701917247 2.184547621 2.398885175 3.77966215 3.260059753 4.505298328 4.702932003 4.653899277 4.600810996 4.702932003 19 5.050115174 4.765169963 0.198015286 0.209856103
