"ID" "Roots_number" "Plant_number" "root_plant" "Dead" "Species" "Treatment" "Replicates"
"109" 141 8 4 2 10 "LP0049" "With-Microbiome" 1
"110" 142 9 5 1.8 10 "LP0049" "With-Microbiome" 2
"151" 143 7 3 2.333333333 0 "LP0049" "With-Microbiome" 3
"54" 144 3 3 1 6.25 "LP0049" "With-Microbiome" 4
"152" 145 13 5 2.6 15 "LP0049" "With-Microbiome" 5
"55" 146 6 6 1 21.42857143 "LT9109" "With-Microbiome" 1
"8" 147 4 4 1 53.33333333 "LT9109" "With-Microbiome" 2
"111" 148 3 3 1 86.66666667 "LT9109" "With-Microbiome" 3
"153" 149 5 5 1 100 "LT9109" "With-Microbiome" 4
"154" 150 3 3 1 50 "LT9109" "With-Microbiome" 5
"9" 151 8 5 1.6 27.27272727 "LJ9250" "With-Microbiome" 1
"10" 152 5 5 1 6.666666667 "LJ9250" "With-Microbiome" 2
"11" 153 11 4 2.75 13.33333333 "LJ9250" "With-Microbiome" 3
"12" 154 7 8 0.875 0 "LJ9250" "With-Microbiome" 4
"13" 155 7 6 1.166666667 0 "LJ9250" "With-Microbiome" 5
"113" 156 5 5 1 27.77777778 "LM7123" "With-Microbiome" 1
"114" 157 5 5 1 23.07692308 "LM7123" "With-Microbiome" 2
"56" 158 7 7 1 0 "LM7123" "With-Microbiome" 3
"57" 159 7 7 1 11.11111111 "LM7123" "With-Microbiome" 4
"14" 160 17 7 2.428571429 13.04347826 "LM7123" "With-Microbiome" 5
"58" 161 5 5 1 26.31578947 "LM8389" "With-Microbiome" 1
"115" 162 4 4 1 20 "LM8389" "With-Microbiome" 2
"59" 163 6 6 1 23.07692308 "LM8389" "With-Microbiome" 3
"116" 164 4 4 1 30.76923077 "LM8389" "With-Microbiome" 4
"60" 165 6 6 1 6.25 "LM8389" "With-Microbiome" 5
"15" 166 4 4 1 0 "LY5280" "With-Microbiome" 1
"16" 167 5 5 1 0 "LY5280" "With-Microbiome" 2
"156" 168 3 3 1 12.5 "LY5280" "With-Microbiome" 3
"61" 169 6 6 1 0 "LY5280" "With-Microbiome" 4
"118" 170 3 3 1 20 "LY5280" "With-Microbiome" 5
"62" 171 5 5 1 23.52941176 "LV7650" "With-Microbiome" 1
"157" 172 3 3 1 64.70588235 "LV7650" "With-Microbiome" 2
"17" 173 5 5 1 27.27272727 "LV7650" "With-Microbiome" 3
"119" 174 6 6 1 70 "LV7650" "With-Microbiome" 4
"158" 175 3 3 1 41.66666667 "LV7650" "With-Microbiome" 5
"159" 176 6 6 1 35.29411765 "LM7200" "With-Microbiome" 1
"160" 177 4 4 1 50 "LM7200" "With-Microbiome" 2
"120" 178 3 3 1 27.77777778 "LM7200" "With-Microbiome" 3
"121" 179 3 3 1 20.83333333 "LM7200" "With-Microbiome" 4
"162" 180 4 4 1 44.44444444 "LM7200" "With-Microbiome" 5
"63" 181 8 4 2 78.26086957 "LA7339" "With-Microbiome" 1
"64" 182 6 2 3 65.38461538 "LA7339" "With-Microbiome" 2
"18" 183 4 4 1 22.22222222 "LA7339" "With-Microbiome" 3
"65" 184 6 2 3 88.88888889 "LA7339" "With-Microbiome" 4
"122" 185 3 3 1 82.60869565 "LA7339" "With-Microbiome" 5
"163" 186 4 4 1 42.85714286 "LP8539" "With-Microbiome" 1
"66" 187 5 5 1 36.36363636 "LP8539" "With-Microbiome" 2
"67" 188 5 5 1 14.28571429 "LP8539" "With-Microbiome" 3
"164" 189 4 4 1 100 "LP8539" "With-Microbiome" 4
"165" 190 4 4 1 100 "LP8539" "With-Microbiome" 5
"19" 191 8 8 1 7.142857143 "LT9243" "With-Microbiome" 1
"123" 192 5 5 1 31.25 "LT9243" "With-Microbiome" 2
"69" 193 3 3 1 94.44444444 "LT9243" "With-Microbiome" 3
"70" 194 5 5 1 7.142857143 "LT9243" "With-Microbiome" 4
"124" 195 4 4 1 85.71428571 "LT9243" "With-Microbiome" 5
"71" 196 5 1 5 0 "PS" "With-Microbiome" 1
"20" 197 9 1 9 0 "PS" "With-Microbiome" 2
"72" 198 5 1 5 0 "PS" "With-Microbiome" 3
"166" 199 5 1 5 0 "PS" "With-Microbiome" 4
"73" 200 5 1 5 0 "PS" "With-Microbiome" 5
