	Species	Microbiome	Compound	Placa 	Well	0	3	6	12	15	17	20
174	SP9509	Syncom	Pyrone	15	7	1	1.237125	1.5221875	1.4731875	1.53125	1.692625	1.73
175	SP9509	Syncom	Pyrone	15	8	1	1.215605381	1.603318386	1.72103139	1.802690583	1.932421525	1.975381166
176	SP9509	Syncom	Pyrone	15	9	1	1.038580442	1.201861199	1.393059937	1.539432177	1.442492114	1.625804416
180	LP8539	NB	None	16	1	1	1.432941176	2.587647059	7.438823529	9.738823529	14.22	13.87882353
181	LP8539	NB	None	16	2	1	1.553939394	3.141515152	8.033030303	7.241212121	9.090909091	8.66
182	LP8539	NB	None	16	3	1	1.270217391	2.212608696	6.859565217	5.38673913	6.567608696	6.392826087
186	LP8539	NB	DMSO	16	7	1	0.985483871	1.541290323	1.247419355	1.228709677	1.273225806	1.182258065
187	LP8539	NB	DMSO	16	8	1	1.315217391	1.805217391	1.674782609	1.402173913	1.459565217	1.60673913
188	LP8539	NB	DMSO	16	9	1	1.108571429	1.556428571	1.496428571	1.219285714	1.55	1.343571429
192	LP8539	Syncom	None	17	1	1	1.572857143	2.992142857	8.665357143	8.858214286	9.579285714	10.21357143
193	LP8539	Syncom	None	17	2	1	1.028043478	1.749130435	4.101521739	4.238478261	6.334347826	6.258478261
194	LP8539	Syncom	None	17	3	1	1.359090909	2.482424242	7.296060606	8.536666667	8.345454545	8.806969697
198	LP8539	Syncom	DMSO	17	7	1	1.036833333	1.0945	1.370333333	1.158666667	1.263	1.297333333
199	LP8539	Syncom	DMSO	17	8	1	1.1159375	1.5959375	1.6196875	1.3084375	1.3871875	1.58375
200	LP8539	Syncom	DMSO	17	9	1	1.06972973	1.327837838	1.228108108	1.209459459	1.221891892	1.417567568
204	LP8539	Syncom	Methyl-Cytrate	18	1	1	1.420357143	2.578571429	5.171785714	6.196428571	6.231428571	6.068035714
205	LP8539	Syncom	Methyl-Cytrate	18	2	1	1.0712	2.3182	4.9472	5.72	5.5798	5.2786
206	LP8539	Syncom	Methyl-Cytrate	18	3	1	1.162142857	2.360714286	5.851904762	6.761904762	5.813333333	5.921428571
210	LP8539	Syncom	Citrulline	18	7	1	0.776060606	0.930606061	3.264848485	4.484848485	6.771212121	6.272424242
211	LP8539	Syncom	Citrulline	18	8	1	0.803181818	1.716590909	5.725227273	7.318181818	7.103181818	7.3925
212	LP8539	Syncom	Citrulline	18	9	1	0.957241379	1.586896552	3.694137931	4.689655172	6.936896552	6.479310345
216	LP8539	Syncom	Adrenaline	19	1	1	1.384693878	1.994693878	4.669591837	6.637959184	5.961428571	6.324489796
217	LP8539	Syncom	Adrenaline	19	2	1	1.509361702	2.602978723	4.542978723	5.366382979	5.984255319	6.221489362
218	LP8539	Syncom	Adrenaline	19	3	1	1.203548387	2.504193548	13.39096774	8.241935484	9.72483871	9.928709677
222	LP8539	Syncom	Lysine	19	7	1	1.1804	1.4148	1.3784	1.7436	1.4892	1.58
223	LP8539	Syncom	Lysine	19	8	1	1.08974359	1.505897436	1.275641026	1.39974359	1.998717949	2.192564103
224	LP8539	Syncom	Lysine	19	9	1	0.979545455	1.236666667	1.066666667	1.083787879	1.414393939	1.436969697
228	LP8539	Syncom	Glutaric_acid	20	1	1	1.133396226	1.575660377	1.388301887	1.905660377	1.025283019	1.120943396
229	LP8539	Syncom	Glutaric_acid	20	2	1	1.04975	1.35425	1.0995	1.525	1.097	1.18825
230	LP8539	Syncom	Glutaric_acid	20	3	1	0.708529412	1.457058824	0.684411765	1.088235294	0.847058824	1.037647059
234	LP8539	Syncom	Pyrone	20	7	1	1.168064516	1.676129032	3.704516129	4.516129032	3.949354839	4.481612903
235	LP8539	Syncom	Pyrone	20	8	1	1.083947368	1.481578947	2.390789474	3.315789474	2.382368421	2.582894737
236	LP8539	Syncom	Pyrone	20	9	1	1.1585	2.195	5.20975	8.175	5.979	6.6745
