"Observed" "Chao1" "se.chao1" "Shannon" "Simpson"
"P02.bc57" 136 139.333333333333 4.12617664997816 3.34284778454339 0.938634904959231
"P02.bc58" 10 10 0.158113883008419 0.0484324725537884 0.012536888412939
"P02.bc59" 6 6 0 0.0304347068915012 0.00763118555409548
"P02.bc5" 74 74 0 2.33713145238587 0.852594521475653
"P02.bc60" 102 103 1.81626357571892 2.48152855580219 0.82836503832107
"P02.bc61" 45 45 0 2.58349580412351 0.871230780597153
"P02.bc62" 83 83 0.248489412152323 2.27507467664485 0.846515076234835
"P02.bc63" 55 55 0 2.53068520184012 0.874593711241156
"P02.bc64" 118 118 0 3.13298982727961 0.922482677892059
"P02.bc65" 115 115 0 2.83886277590885 0.890369091257458
"P02.bc66" 66 66 0.496197663448873 2.39753048282026 0.815285090509433
"P02.bc67" 59 59 0.165248201154911 2.83819348792034 0.91537599534918
"P02.bc68" 63 63 0 1.84515810860344 0.687465084158129
"P02.bc69" 70 70 0 2.51098676787836 0.869339250174141
"P02.bc6" 68 68 0 2.6172154300094 0.883626226557195
"P02.bc70" 26 26 0 2.49759016331822 0.877954856494468
"P02.bc71" 80 80 0.496865172858795 2.90980322234592 0.902225709794459
"P02.bc72" 70 71 2.33316565460556 2.02236781052128 0.743180720628532
"P02.bc73" 118 118 0 2.83024407961448 0.903864588601134
"P02.bc74" 110 110 0 2.87188833920753 0.910488519815593
"P02.bc75" 36 36 0 0.474212396231986 0.157498793513643
"P02.bc76" 1 1 0 0 0
"P02.bc77" 85 85 0.248525060873854 1.9960705395508 0.676818601202462
"P02.bc78" 63 63 0 2.22840751886233 0.811597114847872
"P02.bc79" 5 5 0 0.0110411679678984 0.0024341762116864
"P02.bc7" 112 113 1.81642782116398 2.85535038762961 0.875752033771568
"P02.bc81" 4 4 0 0.058929214297686 0.0178711435338369
"P02.bc82" 77 77 0 2.10860740087727 0.76663874940386
"P02.bc83" 1 1 0 0 0
"P02.bc85" 100 100 0 2.72467338678018 0.886670096824093
"P02.bc86" 47 47 0 2.45847563465621 0.858266177492483
"P02.bc87" 114 114 0.124450546790648 2.76797578641269 0.876010569937065
"P02.bc88" 65 65 0.496138938356834 2.50559024404433 0.855252659040768
"P02.bc89" 262 264.625 2.82799234768249 3.33115356544649 0.869128215851706
"P02.bc8" 5 5 0 0.0149934428086416 0.00352090378542913
"P02.bc92" 76 76 0 2.63429854645542 0.876811005204237
"P02.bc93" 51 51 0 2.61275943717308 0.870941145022911
"P02.bc94" 1 1 0 0 0
"P02.bc95" 3 3 0 0.0515540609276024 0.0167271973375707
"P02.bc9" 79 79 0.49682536472887 1.80972328485652 0.598792043268156
"P03.bc10" 112 113.5 2.59425831625414 3.25669181020738 0.92928087872819
"P03.bc11" 81 81 0 2.65044216945008 0.888818055891272
"P03.bc12" 2 2 0 0.0510180467801919 0.0176977040816326
"P03.bc13" 55 55 0 1.81349785412215 0.772959019054489
"P03.bc14" 86 86 0 2.83996430665594 0.897603507140733
"P03.bc15" 78 78 0.49678453256404 2.94282224917804 0.899950039638434
"P03.bc16" 88 88 0 1.89487629556975 0.704909188027928
"P03.bc18" 84 84 0 2.14870771935592 0.736437748566747
"P03.bc19" 76 76 0 2.70483627920039 0.866593985282975
"P03.bc1" 141 141.75 1.42306416128819 2.58106971601606 0.862466129724021
"P03.bc20" 85 85 0 2.75336050901076 0.892099558068394
"P03.bc21" 75 75 0 2.80857516290068 0.903955045764688
"P03.bc22" 67 67 0 2.47471580484285 0.838111442642596
"P03.bc23" 56 59 4.62674612022498 2.67279499416137 0.853611805505157
"P03.bc24" 194 195 1.81713904310988 3.1282931719549 0.877870064419268
"P03.bc25" 127 127 0 2.98583404809417 0.888812301857081
"P03.bc26" 1 1 0 0 0
"P03.bc27" 40 40 0 3.04164655069705 0.922599739895044
"P03.bc28" 68 68.5 1.29587357453105 2.36486415546398 0.834588032663654
"P03.bc29" 97 97 0 2.49119474956439 0.844947242276647
"P03.bc2" 3 3 0 0.00707020958721837 0.00162041430770088
"P03.bc31" 106 106 0.497635920562375 2.7641638505341 0.874971626686933
"P03.bc32" 118 119 2.33803048624731 2.84473809897965 0.883023222818494
"P03.bc33" 91 91.5 1.29666975711489 2.62852380944932 0.868696203749577
"P03.bc34" 131 131.5 1.29739062485439 2.83984159533263 0.894737036927945
"P03.bc35" 2 2 0 0.00975940167405714 0.00254303187179072
"P03.bc36" 44 44 0 1.40687836293251 0.52722771090249
"P03.bc37" 1 1 0 0 0
"P03.bc38" 82 82 0 2.54715767969898 0.881935274793006
"P03.bc39" 97 97 0.497416003373807 2.57654898245608 0.849618390299741
"P03.bc3" 129 129 0.124514561272938 2.39247359604561 0.810812273382876
"P03.bc40" 130 131 1.81666024697141 2.90205184779902 0.875374540719746
"P03.bc41" 92 92 0 1.4972565740784 0.541287333613363
"P03.bc42" 91 98.5 8.16441532903457 2.82933511396548 0.901263357423111
"P03.bc43" 144 144 0 2.65225814065223 0.854409099051152
"P03.bc44" 64 64 0.165359456941537 2.47656897845581 0.829960496502665
"P03.bc45" 49 49 0.247435829652697 2.7306285894963 0.882861806711021
"P03.bc46" 84 84 0 2.77522333667913 0.899757241855409
"P03.bc47" 36 36 0 3.11734480807857 0.944323392384399
"P03.bc48" 88 88 0.248575486979856 1.76929369390283 0.587531990674167
"P03.bc49" 96 96 0.124347254024097 2.2922081084756 0.806433315776678
"P03.bc4" 85 85.3333333333333 0.925045878074817 2.43790998500168 0.828628929906058
"P03.bc50" 1 1 0 0 0
