	Species	Microbiome	ID	Nutrition	Subsample	cell_layer_n	Stele_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Stele_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Arenquima_mean_area	Arenquima_N
61	LJ9250	NB	133	Medium	4	5	9.02322	3.869826	13.951348	0	0	0	19.25425767	19.9969536	133.841295	8	10	10	0	0	0	12	17	89.131356	10
62	SI7820	B+	141	Medium	1	6	6.991983333	2.189695	14.577555	8.186092667	0	0	26.643846	8.47458	135.731205	6	6	6	5	0	0	15	25	343.9032117	6
63	SI7820	B+	142	Medium	2	6	9.48549125	4.40901	12.10795875	5.241235	0	0	19.57780731	9.950958433	122.12174	8	8	8	2	0	0	13	27	82.0173075	8
64	SI7820	B+	143	Medium	3	8	7.442217143	3.466697143	10.98878714	6.200817143	6.841828571	4.997282857	16.95697043	8.860572899	131.809655	7	7	7	7	7	2	23	30	361.4408643	7
65	SI7820	B+	143.2	Medium	4	7	7.30116	3.902581429	12.24788	6.716182321	6.30434625	0	64.82119348	9.620497489	147.0956075	8	7	7	8	0	0	23	30	479.5522	7
66	SI7820	B+	144	Medium	5	8	7.86766	3.445278571	12.49074143	8.787392857	4.76790381	6.367953333	20.88529167	6.450947051	144.451975	7	7	7	7	6	2	17	32	427.0683929	6
67	SP9509	B+	145	Medium	1	7	8.108014286	3.296135714	12.96565	9.566512857	6.878747143	0	24.53252444	4.998622312	144.28231	7	7	7	7	4	0	18	37	359.0534329	7
68	SP9509	B+	146	Medium	2	8	7.598687143	3.087744286	13.34402429	9.3253	9.170135714	8.787398571	22.46109783	9.906957888	169.8652775	7	7	7	7	6	3	23	35	742.4479786	7
69	SP9509	B+	147	Medium	3	7	7.064681667	3.469124048	11.16799	10.35378762	8.296634667	0	21.52947884	6.698596687	139.86355	6	7	7	6	3	0	19	34	490.39559	6
70	SP9509	B+	148	Medium	4	6	7.8097625	3.2333125	10.2359775	4.7036115	0	0	18.10944743	11.06343379	115.4642075	8	8	8	5	0	0	13	23	89.77476375	8
71	LP8539	B+	149	Medium	1	6	11.84479111	4.795847778	17.56462333	36.83880444	0	0	5.083301667	16.42239278	198.2127425	9	9	9	3	0	0	5	18	56.328185	10
72	LP8539	B+	150	Medium	2	6	9.599276667	4.496166667	15.9911	5.683836667	0	0	31.125383	20.67211858	174.9088775	9	9	9	3	0	0	10	19	104.650556	10
73	LP8539	B+	151	Medium	3	5	12.28200364	4.460457273	15.46972455	0	0	0	30.39466091	18.33553909	163.7600375	11	11	11	0	0	0	11	22	64.618767	10
74	LP8539	B+	152	Medium	4	5	10.32635545	3.886166364	12.95041545	0	0	0	24.86069523	22.29621893	156.9250525	11	11	11	0	0	0	12	21	43.16603818	11
