	Medium	Treatment	Species	Replicate	Fmax	Tfmax	AUC6	AUC14	Vel_in	Vel_fn
129	Hundred	NB	LP0049	4	2.267864167	14	7.577247498	24.29522311	0.285477033	0.052794895
130	Hundred	NB	LJ9250	1	2.550694229	10	7.806496736	26.10667288	0.376010258	-0.059812455
131	Hundred	NB	LJ9250	2	3.625550861	14	8.713927127	31.40794376	0.407921039	0.411464722
132	Hundred	NB	LJ9250	3	2.439160527	10	7.563842376	23.26069435	0.230564858	-0.704867158
133	Hundred	NB	LJ9250	4	2.509638351	14	8.278040483	25.81790876	0.384581051	0.1656011
141	Hundred	SynCom	SI7820	1	2.188386628	10	7.781584302	23.65292151	0.301831395	-0.238888081
142	Hundred	SynCom	SI7820	2	2.45912972	10	7.788329351	25.01488818	0.41086186	-0.126728223
143	Hundred	SynCom	SI7820	3	3.051881596	14	9.590988238	30.97277993	0.597553392	0.133390782
144	Hundred	SynCom	SI7820	4	3.017855346	14	9.381920384	31.58520105	0.554586754	0.006145862
145	Hundred	SynCom	SP9509	1	1.819411194	14	6.607935481	20.28837177	0.156056755	0.04244581
146	Hundred	SynCom	SP9509	2	2.549455009	10	7.179832444	25.53712025	0.230555717	-0.077211851
147	Hundred	SynCom	SP9509	3	1.992360101	14	7.114785906	22.10281342	0.204833091	0.052536711
148	Hundred	SynCom	SP9509	4	2.702508482	14	8.853291214	26.93001496	0.49275372	0.248877995
149	Hundred	SynCom	LP8539	1	3.668893489	14	8.896923222	31.40413687	0.381445239	0.519884582
150	Hundred	SynCom	LP8539	2	3.886323036	10	9.788092022	38.37813167	0.446647205	-0.033593307
151	Hundred	SynCom	LP8539	3	2.543601503	14	6.243009109	22.83514874	0.150678387	0.165286536
152	Hundred	SynCom	LP8539	4	2.394617576	10	6.425824413	23.42854368	0.121309565	-0.114338743
153	Hundred	SynCom	LA7339	1	4.986026689	14	9.269114325	37.17875358	0.404259531	0.875451222
154	Hundred	SynCom	LA7339	2	4.995011661	10	10.74245271	45.82012827	0.469681265	-0.354447396
155	Hundred	SynCom	LA7339	3	5.208905883	14	10.7659816	47.21732983	0.226550364	0.372465846
156	Hundred	SynCom	LA7339	4	7.36297672	14	9.023819807	48.90271239	0.194812767	1.295663629
157	Hundred	SynCom	PS	1	1.615494602	14	6.329155049	18.20191597	0.168080611	0.058984502
158	Hundred	SynCom	PS	2	1.443786566	14	5.928981106	16.30028454	0.115125164	0.095319543
159	Hundred	SynCom	PS	3	1.08170668	3	5.103335593	13.01345214	0.04085334	-0.008944683
160	Hundred	SynCom	PS	4	1.360461395	14	6.121695956	16.59612397	0.125295097	0.04357929
161	Hundred	SynCom	LP0049	1	7.221103591	14	8.981984152	43.85864303	0.376430068	1.656217635
162	Hundred	SynCom	LP0049	2	2.691216272	14	8.766843681	27.00275773	0.365906668	0.311808005
163	Hundred	SynCom	LP0049	3	2.829335215	14	7.952159768	26.31438147	0.341731342	0.283974208
164	Hundred	SynCom	LP0049	4	3.330385405	14	9.64429141	34.07985985	0.493149692	0.05643349
165	Hundred	SynCom	LJ9250	1	4.137429606	14	9.124976866	34.1419771	0.501414483	0.495597917
