"Experiment" "Time" "Plate" "nr" "Sample" "Microbe" "Compound" "Compound2" "Value" "Relative"
"202" 1 "T6" "P21" 21 "X61" "P96" "C1" "Compound" 0.79 0.326311442
"203" 1 "T1" "P20" 20 "X67" "P50" "C2" "Compound" 0.526 0.326505276
"204" 1 "T4" "P21" 21 "X67" "P72" "C2" "Compound" 0.762 0.326618088
"205" 1 "T2" "P4" 4 "X83" "A144" "C4" "Compound" 0.111 0.327433628
"206" 1 "T5" "P21" 21 "X7" "P115" "Control" "Control" 0.619 0.327860169
"207" 1 "T2" "P4" 4 "X86" "A226C" "C4" "Compound" 0.456 0.328293737
"208" 1 "T6" "P23" 23 "X13" "P129" "C1" "Compound" 0.476 0.328956462
"209" 1 "T1" "P19" 19 "X61" "A179A" "C1" "Compound" 0.561 0.33
"210" 1 "T1" "P27" 27 "X9" "A91" "C1" "Compound" 0.527 0.330200501
"211" 1 "T4" "P15" 15 "X92" "A110A" "Blank" "Blank" 0.505 0.330930537
"212" 1 "T5" "P19" 19 "X43" "P61" "Blank" "Blank" 0.499 0.331121433
"213" 1 "T3" "P36" 36 "X6" "P146" "Control" "Control" 0.112 0.331360947
"214" 1 "T1" "P23" 23 "X19" "P110" "C2" "Compound" 0.516 0.332046332
"215" 1 "T6" "P21" 21 "X7" "P91B" "Control" "Control" 0.659 0.332660273
"216" 1 "T4" "P15" 15 "X32" "A100" "C3" "Compound" 0.441 0.333333333
"217" 1 "T1" "P5" 5 "X85" "A155B" "C4" "Compound" 0.641 0.334551148
"218" 1 "T4" "P18" 18 "X86" "A157A.1" "C4" "Compound" 0.258 0.33463035
"219" 1 "T6" "P29" 29 "X56" "A157B" "Control" "Control" 0.301 0.33972912
"220" 1 "T4" "P36" 36 "X6" "P146" "Control" "Control" 0.115 0.340236686
"221" 1 "T5" "P36" 36 "X6" "P146" "Control" "Control" 0.115 0.340236686
"222" 1 "T6" "P36" 36 "X6" "P146" "Control" "Control" 0.115 0.340236686
"223" 1 "T6" "P28" 28 "X82" "A342" "C4" "Compound" 0.107 0.340764331
"224" 1 "T4" "P24" 24 "X25" "P128A.112" "C3" "Compound" 0.668 0.340816327
"225" 1 "T4" "P31" 31 "X85" "A179A" "C4" "Compound" 0.329 0.340932642
"226" 1 "T1" "P23" 23 "X7" "P115" "Control" "Control" 0.644 0.341101695
"227" 1 "T3" "P21" 21 "X80" "P98B" "C3" "Compound" 0.349 0.34249264
"228" 1 "T5" "P18" 18 "X95" "P57" "Blank" "Blank" 0.116 0.343195266
"229" 1 "T1" "P25" 25 "X91" "P152" "Blank" "Blank" 0.161 0.343283582
"230" 1 "T4" "P18" 18 "X85" "A155B" "C4" "Compound" 0.285 0.34503632
"231" 1 "T1" "P24" 24 "X13" "P129" "C1" "Compound" 0.501 0.346233587
"232" 1 "T5" "P28" 28 "X82" "A342" "C4" "Compound" 0.109 0.347133758
"233" 1 "T6" "P22" 22 "X79" "P127" "C3" "Compound" 0.63 0.347490347
"234" 1 "T2" "P7" 7 "X52" "A178" "Control" "Control" 0.201 0.348353553
"235" 1 "T5" "P21" 21 "X19" "P110" "C2" "Compound" 0.542 0.348777349
"236" 1 "T3" "P28" 28 "X82" "A342" "C4" "Compound" 0.11 0.350318471
"237" 1 "T6" "P23" 23 "X45" "P129" "Blank" "Blank" 0.623 0.350788288
"238" 1 "T1" "P20" 20 "X2" "A186" "Control" "Control" 0.51 0.351966874
"239" 1 "T6" "P19" 19 "X53" "P55" "Control" "Control" 0.122 0.352601156
"240" 1 "T4" "P31" 31 "X53" "A179A" "Control" "Control" 0.141 0.353383459
"241" 1 "T6" "P19" 19 "X51" "P50" "Control" "Control" 0.118 0.354354354
"242" 1 "T1" "P23" 23 "X31" "P115" "C3" "Compound" 0.588 0.355072464
"243" 1 "T5" "P29" 29 "X56" "A157B" "Control" "Control" 0.316 0.356659142
"244" 1 "T2" "P28" 28 "X82" "A342" "C4" "Compound" 0.112 0.356687898
"245" 1 "T5" "P19" 19 "X52" "P74A" "Control" "Control" 0.129 0.35734072
"246" 1 "T1" "P8" 8 "X84" "P54" "C4" "Compound" 0.208 0.358003442
"247" 1 "T6" "P19" 19 "X80" "P58" "C3" "Compound" 0.839 0.358393849
"248" 1 "T4" "P36" 36 "X30" "P146" "C3" "Compound" 0.104 0.35862069
"249" 1 "T3" "P19" 19 "X51" "P50" "Control" "Control" 0.12 0.36036036
"250" 1 "T6" "P19" 19 "X56" "P58" "Control" "Control" 0.56 0.362459547
"251" 1 "T2" "P3" 3 "X63" "A112B" "C1" "Compound" 0.793 0.362929062
"252" 1 "T5" "P19" 19 "X49" "P70" "Control" "Control" 0.139 0.363874346
"253" 1 "T5" "P36" 36 "X30" "P146" "C3" "Compound" 0.106 0.365517241
"254" 1 "T4" "P31" 31 "X49" "A174" "Control" "Control" 0.118 0.366459627
"255" 1 "T3" "P19" 19 "X53" "P55" "Control" "Control" 0.127 0.367052023
"256" 1 "T1" "P21" 21 "X31" "P67" "C3" "Compound" 0.379 0.368318756
"257" 1 "T2" "P19" 19 "X51" "P50" "Control" "Control" 0.123 0.369369369
"258" 1 "T4" "P27" 27 "X81" "A102" "C4" "Compound" 0.485 0.369664634
"259" 1 "T1" "P36" 36 "X6" "P146" "Control" "Control" 0.125 0.369822485
